citation_author,citation_year,citation_title,species,site,treatment,year,month,day,SLA,leafP,leafN,leafC,c2n_leaf,access_level
Xiaohui Feng,2015,Luquillo census field data,Micropholis garciniifolia,Luquillo,Observations,1992,6,15,5.767714286,0.032078849,1.84,45.98,24.98913043,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea moschata,Luquillo,Observations,1990,8,30,6.683,0.045924224,1.6395,49.0955,29.94541019,4
Xiaohui Feng,2015,Luquillo census field data,Rheedia portoricensis,Luquillo,Observations,1992,6,22,7.215833333,0.042370331,1.7025,49.6575,29.16740088,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea spathulata,Luquillo,Observations,1992,6,22,7.297285714,0.13125,2.02,43.25,21.41089109,4
Xiaohui Feng,2015,Luquillo census field data,Matayba domingensis,Luquillo,Observations,1990,8,28,7.317,0.046564296,1.9855,45.1055,22.71745152,4
Xiaohui Feng,2015,Luquillo census field data,Cyrilla racemiflora,Luquillo,Observations,1990,12,5,7.963625,0.031024672,1.9,48.3,25.42105263,4
Xiaohui Feng,2015,Luquillo census field data,Coccoloba pyrifolia,Luquillo,Observations,1992,6,5,7.964,0.070855858,1.745,49.465,28.34670487,4
Xiaohui Feng,2015,Luquillo census field data,Xylosma schwaneckeana,Luquillo,Observations,1992,7,7,8.097,0.101341781,1.19,45.775,38.46638655,4
Xiaohui Feng,2015,Luquillo census field data,Micropholis chrysophylloides,Luquillo,Observations,1990,9,11,8.1498,0.027461298,1.454285714,46.36,31.87819254,4
Xiaohui Feng,2015,Luquillo census field data,Clusia rosea,Luquillo,Observations,1992,4,21,8.882,0.124408842,1.456666667,48.89,33.56292905,4
Xiaohui Feng,2015,Luquillo census field data,Magnolia splendens,Luquillo,Observations,1991,2,25,8.912833333,0.05,1.13,44.2,39.11504425,4
Xiaohui Feng,2015,Luquillo census field data,Syzygium jambos,Luquillo,Observations,1990,9,14,9.0896,0.077513526,1.35,46,34.07407407,4
Xiaohui Feng,2015,Luquillo census field data,Guettarda valenzuelana,Luquillo,Observations,1990,7,30,9.196272727,0.039506104,1.282,48.7,37.9875195,4
Xiaohui Feng,2015,Luquillo census field data,Byrsonima wadsworthii,Luquillo,Observations,1990,12,11,9.237142857,0.048430294,1.36,50.53333333,37.15686274,4
Xiaohui Feng,2015,Luquillo census field data,Eugenia domingensis,Luquillo,Observations,1990,12,5,9.498285714,0.03496747,3.535,43.695,12.36067893,4
Xiaohui Feng,2015,Luquillo census field data,Eugenia stahlii,Luquillo,Observations,1990,8,1,9.699538462,0.032006629,1.206666667,47.96666667,39.75138121,4
Xiaohui Feng,2015,Luquillo census field data,Maytenus elongata,Luquillo,Observations,1990,8,3,9.7556,0.092793446,2.65,47.906,18.07773585,4
Xiaohui Feng,2015,Luquillo census field data,Cordia sulcata,Luquillo,Observations,1990,8,3,9.764,0.106730886,3.4725,43.519,12.5324694,4
Xiaohui Feng,2015,Luquillo census field data,Coccoloba diversifolia,Luquillo,Observations,1990,12,12,9.94625,0.05032424,1.603333333,47.86666667,29.85446986,4
Xiaohui Feng,2015,Luquillo census field data,Manilkara bidentata,Luquillo,Observations,1992,6,3,10.0825,0.083,1.65,48.62,29.46666667,4
Xiaohui Feng,2015,Luquillo census field data,Ficus crassinervia,Luquillo,Observations,1990,10,30,10.1795,0.141206436,1.819333333,40.51333333,22.26823012,4
Xiaohui Feng,2015,Luquillo census field data,Calycogonium squamulosum,Luquillo,Observations,1990,12,5,10.20125,0.039908726,1.45,41.95,28.93103448,4
Xiaohui Feng,2015,Luquillo census field data,Ditta myricoides,Luquillo,Observations,1992,6,22,10.37845455,0.096912941,2.04,46.8,22.94117647,4
Xiaohui Feng,2015,Luquillo census field data,Ardisia glauciflora,Luquillo,Observations,1992,6,15,10.8,0.14,1,51.3,51.3,4
Xiaohui Feng,2015,Luquillo census field data,Myrsine coriacea,Luquillo,Observations,1993,6,16,10.9235,0.082666667,1.01,45.908,45.45346535,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea portoricensis,Luquillo,Observations,1991,12,5,11.262,0.08,1.8035,48.255,26.75630718,4
Xiaohui Feng,2015,Luquillo census field data,Ficus sintenisii,Luquillo,Observations,1990,9,17,11.54,0.089333333,1.664,39.13,23.515625,4
Xiaohui Feng,2015,Luquillo census field data,Hirtella rugosa,Luquillo,Observations,1992,6,15,11.71047059,0.073958766,1.28,39.275,30.68359375,4
Xiaohui Feng,2015,Luquillo census field data,Daphnopsis philippiana,Luquillo,Observations,1992,6,19,11.92564706,0.157611916,2.7,40.51,15.0037037,4
Xiaohui Feng,2015,Luquillo census field data,Citrus paradisi,Luquillo,Observations,1993,7,7,11.957,0.181466853,1.850333333,45.88,24.79553234,4
Xiaohui Feng,2015,Luquillo census field data,Sloanea berteriana,Luquillo,Observations,1992,6,4,11.97083333,0.060214153,1.3,46.1,35.46153846,4
Xiaohui Feng,2015,Luquillo census field data,Roystonea borinquena,Luquillo,Observations,1991,3,4,11.9732,0.098,1.833333333,42.61,23.24181819,4
Xiaohui Feng,2015,Luquillo census field data,Vitex divaricata,Luquillo,Observations,1992,6,30,12.05,0.065335099,2.64,43.73,16.56439394,4
Xiaohui Feng,2015,Luquillo census field data,Miconia mirabilis,Luquillo,Observations,1992,6,3,12.38875,0.050767173,1.633333333,47.8,29.26530613,4
Xiaohui Feng,2015,Luquillo census field data,Mangifera indica,Luquillo,Observations,1991,6,11,12.49114286,0.14125,1.62575,47.053575,28.94268799,4
Xiaohui Feng,2015,Luquillo census field data,Malpighia fucata,Luquillo,Observations,1992,7,16,12.6035,0.077676942,2.67,44.62,16.71161049,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea leucoxylon,Luquillo,Observations,1992,6,5,12.8381,0.095166109,2.27,43.86,19.3215859,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea globosa,Luquillo,Observations,1990,10,24,12.85525,0.076866667,1.918333333,48.55666667,25.3119027,4
Xiaohui Feng,2015,Luquillo census field data,Turpinia occidentalis,Luquillo,Observations,1993,6,23,12.858,0.088108186,1.465,43.7,29.82935154,4
Xiaohui Feng,2015,Luquillo census field data,Myrcia deflexa,Luquillo,Observations,1992,6,4,13.06061538,0.044153872,1.555,46.145,29.67524116,4
Xiaohui Feng,2015,Luquillo census field data,Miconia tetrandra,Luquillo,Observations,1990,12,5,13.24511765,0.077448863,1.99,45.22,22.72361809,4
Xiaohui Feng,2015,Luquillo census field data,Cupania americana,Luquillo,Observations,1991,12,18,13.5162,0.116333333,1.906666667,48.33333333,25.34965034,4
Xiaohui Feng,2015,Luquillo census field data,Antirhea obtusifolia,Luquillo,Observations,1992,5,14,13.72657143,0.052226215,1.235,46.155,37.37246964,4
Xiaohui Feng,2015,Luquillo census field data,Dacryodes excelsa,Luquillo,Observations,1990,7,30,13.75942857,0.059245607,1.383333333,41.43333333,29.95180723,4
Xiaohui Feng,2015,Luquillo census field data,Pisonia subcordata,Luquillo,Observations,1991,3,11,13.8415,0.079615968,1.55,44.9,28.96774194,4
Xiaohui Feng,2015,Luquillo census field data,Tetragastris balsamifera,Luquillo,Observations,1990,7,30,14.0495,0.0590279,1.78,47.8,26.85393258,4
Xiaohui Feng,2015,Luquillo census field data,Ocotea sintenisii,Luquillo,Observations,1990,8,27,14.07445455,0.121606004,1.865,47.74,25.59785523,4
Xiaohui Feng,2015,Luquillo census field data,Chionanthus domingensis,Luquillo,Observations,1990,8,3,14.1174,0.031226837,1.733333333,43.86,25.30384616,4
Xiaohui Feng,2015,Luquillo census field data,Ficus citrifolia,Luquillo,Observations,1990,10,19,14.20575,0.074333333,1.803333333,39.47433333,21.8896488,4
Xiaohui Feng,2015,Luquillo census field data,Symplocos martinicensis,Luquillo,Observations,1992,1,9,14.356,0.077333333,1.723333333,47.13333333,27.35009672,4
Xiaohui Feng,2015,Luquillo census field data,Lonchocarpus latifolius,Luquillo,Observations,1991,2,28,14.4055,0.107,1.79,48.441,27.06201117,4
Xiaohui Feng,2015,Luquillo census field data,Ixora ferrea,Luquillo,Observations,1992,6,3,14.4185,0.062584654,1.287666667,45.144,35.05876261,4
Xiaohui Feng,2015,Luquillo census field data,Beilschmiedia pendula,Luquillo,Observations,1991,2,26,14.4582,0.109813333,1.213333333,45.42666667,37.43956045,4
Xiaohui Feng,2015,Luquillo census field data,Drypetes glauca,Luquillo,Observations,1990,7,30,14.6750625,0.066155,2.27375,46.1425,20.29356789,4
Xiaohui Feng,2015,Luquillo census field data,Ilex sideroxyloides,Luquillo,Observations,1992,7,16,14.846,0.09,1.093333333,43.76666667,40.03048782,4
Xiaohui Feng,2015,Luquillo census field data,Croton poecilanthus,Luquillo,Observations,1990,7,30,15.06776471,0.060042012,3.82,39.03,10.21727749,4
Xiaohui Feng,2015,Luquillo census field data,Cassipourea guianensis,Luquillo,Observations,1990,12,5,15.27811111,0.083916038,2.793333333,47.04,16.84009547,4
