"","Cft","WD","SLA","Organ","Biome","species","citation_id","site_id"
"1",0.22,0.49,"10.46025105","Leaf","Tropical seasonal forest","Aegiphila lhotzkiana",1000000101,1000025739
"2",0.39,0.41,"12.78772379","Leaf","Tropical seasonal forest","Aegiphila sellowiana",1000000101,1000025739
"3",0.036469112,0.56,"9.652509653","Leaf","Tropical seasonal forest","Hymenaea martiana",1000000101,1000025739
"4",0.061971074,0.72,"6.887052342","Leaf","Tropical seasonal forest","Hymenaea stignocarpa",1000000101,1000025739
"5",0.067360248,0.74,"10.35196687","Leaf","Tropical seasonal forest","Miconia cuspidata",1000000101,1000025739
"6",0.074970684,0.53,"5.42888165","Leaf","Tropical seasonal forest","Miconia pohliana",1000000101,1000025739
"7",0.101475259,0.62,"11.50747986","Leaf","Tropical seasonal forest","Myrsine ferruginea",1000000101,1000025739
"8",0.09,0.52,"5.151983514","Leaf","Tropical seasonal forest","Myrsine guianensis",1000000101,1000025739
"9",0.057424191,0.49,"5.678591709","Leaf","Tropical seasonal forest","Styrax ferrugineus",1000000101,1000025739
"10",0.065297872,0.54,"8.183306056","Leaf","Tropical seasonal forest","Styrax pohlii",1000000101,1000025739
"11",0.058264463,0.38,"6.887052342","Leaf","Tropical seasonal forest","Symplocos lanceolata",1000000101,1000025739
"12",0.060883645,0.48,"8.136696501","Leaf","Tropical seasonal forest","Symplocos mosenii",1000000101,1000025739
"13",0.044,0.74,"NA","Leaf","Tropical rainforest","Aspidosperma cruenta",1000000102,2000000003
"14",0.064,0.66,"NA","Leaf","Tropical rainforest","Chrysophllum cainito",1000000102,2000000002
"15",0.151,0.4,"NA","Leaf","Tropical rainforest","Ficus insipida",1000000102,2000000002
"16",0.053,0.67,"NA","Leaf","Tropical rainforest","Manilkara bidentata",1000000102,2000000003
"17",0.065,0.62,"NA","Leaf","Tropical rainforest","Protium panamense",1000000102,2000000003
"18",0.069,0.64,"NA","Leaf","Tropical rainforest","Tachigalia versicolor",1000000102,2000000003
"19",0.071,0.5,"NA","Leaf","Tropical rainforest","Tapirira guianensis",1000000102,2000000003
"20",0.077,0.56,"NA","Leaf","Tropical rainforest","Vochysia ferruginea",1000000102,2000000003
"21",0.11,0.36,"12.76","Leaf","Tropical seasonal forest","Bursera simarouba",1000000109,1000026713
"22",0.13,0.61,"12.66","Leaf","Tropical seasonal forest","Casearia corymbosa",1000000109,1000026713
"23",0.11,0.64,"21.41","Leaf","Tropical seasonal forest","Casearia sylvestris",1000000109,1000026713
"24",0.18,0.18,"17.6","Leaf","Tropical seasonal forest","Cochlospermum vitifolium",1000000109,1000026713
"25",0.1,0.55,"8.33","Leaf","Tropical seasonal forest","Crescentia alata",1000000109,1000026713
"26",0.11,0.6,"15.45","Leaf","Tropical seasonal forest","Cupania guatemalensis",1000000109,1000026713
"27",0.1,0.38,"7","Leaf","Tropical seasonal forest","Enterolobium cyclocarpum",1000000109,1000026713
"28",0.12,0.74,"13.34","Leaf","Tropical seasonal forest","Guazuma ulmifolia",1000000109,1000026713
"29",0.07,0.84,"11.68","Leaf","Tropical seasonal forest","Hymenea courbaril",1000000109,1000026713
"30",0.05,0.78,"18.12","Leaf","Tropical seasonal forest","Maclura tinctoria",1000000109,1000026713
"31",0.21,0.68,"27.69","Leaf","Tropical seasonal forest","Myrospermum frutescens",1000000109,1000026713
"32",0.18,0.64,"14.15","Leaf","Tropical seasonal forest","Piscidia carthagenensis",1000000109,1000026713
"33",0.17,0.51,"18.73","Leaf","Tropical seasonal forest","Semialarium mexicanum",1000000109,1000026713
"34",0.12,0.53,"9.13","Leaf","Tropical seasonal forest","Tabebuia rosea",1000000109,1000026713
"35",11.90984038,0.513,"NA","Xylem","Tropical seasonal forest","Albizia guachapele",1000000103,1000026716
"36",5.679491184,0.697,"NA","Xylem","Tropical seasonal forest","Calycophyllum candidissimum",1000000103,1000026716
"37",14.29496799,0.464535059,"NA","Xylem","Tropical seasonal forest","Simarouba glauca",1000000103,1000026716
"38",11.0149605,0.33,"NA","Xylem","Tropical seasonal forest","Spondias purpurea",1000000103,1000026716
"39",13.84766082,0.659035123,"NA","Xylem","Subtropical Forest","Balfourodendron riedelianum",1000000104,1000026715
"40",54.88725821,0.528022175,"NA","Xylem","Subtropical Forest","Cabralea canjerana",1000000104,1000026715
"41",103.2156417,0.491526273,"NA","Xylem","Subtropical Forest","Cedrela fissilis",1000000104,1000026715
"42",262.0336416,0.30827275,"NA","Xylem","Subtropical Forest","Ceiba speciosa",1000000104,1000026715
"43",22.17600802,0.59504569,"NA","Xylem","Subtropical Forest","Chrysophyllum gonocarpum",1000000104,1000026715
"44",19.47222572,0.508058826,"NA","Xylem","Subtropical Forest","Cordia trichotoma",1000000104,1000026715
"45",22.70262928,0.858303343,"NA","Xylem","Subtropical Forest","Holocalyx balansae",1000000104,1000026715
"46",16.36263418,0.697730064,"NA","Xylem","Subtropical Forest","Lonchocarpus muehlbergianus",1000000104,1000026715
"47",32.61183584,0.540559839,"NA","Xylem","Subtropical Forest","Ocotea diospyrifolia",1000000104,1000026715
"48",17.29205215,0.757215075,"NA","Xylem","Subtropical Forest","Parapiptadenia rigida",1000000104,1000026715
"49",388.42,0.35,"8.47","Xylem","Tropical rainforest","Anacardium excelsum",1000000071,2000000002
"50",618.94,0.27,"15.3","Xylem","Tropical rainforest","Annona spraguei",1000000071,2000000002
"51",213.93,0.37,"15.7","Xylem","Tropical rainforest","Antirrhea trichantha",1000000071,2000000002
"52",171.4,0.41,"14.1","Xylem","Tropical rainforest","Astronium graveolens",1000000071,2000000002
"53",347.64,0.37,"NA","Xylem","Tropical rainforest","Cordia alliodora",1000000071,2000000002
"54",195.07,0.27,"16.1","Xylem","Tropical rainforest","Luehea seemannii",1000000071,2000000002
"55",47,0.55,"NA","Xylem","Tropical seasonal forest","Blepharocalyx salicifolius",1000000105,1000025739
"56",60,0.52,"NA","Xylem","Tropical seasonal forest","Byrsonima crassa",1000000105,1000025739
"57",66,0.66,"4.897788194","Xylem","Tropical seasonal forest","Kielmeyera coriacea",1000000105,1000025739
"58",171,0.28,"NA","Xylem","Tropical seasonal forest","Qualea parviflora",1000000105,1000025739
"59",251.4128818,0.19,"NA","Xylem","Tropical rainforest","Ochroma pyramidale",1000000061,1000005005
"60",95,0.19,"NA","Xylem","Tropical rainforest","Ochroma pyramidale",1000000061,1000005005
"61",111.7163481,0.25,"7.762471166","Xylem","Tropical rainforest","Pseudobombax septenatum",1000000061,1000005005
"62",60,0.25,"7.762471166","Xylem","Tropical rainforest","Pseudobombax septenatum",1000000061,1000005005
"63",300,0.39,"10.83926914","Xylem","Tropical seasonal forest","Anacardium excelsum",1000000079,2000000002
"64",80,0.52,"NA","Xylem","Tropical seasonal forest","Cordia alliodora",1000000079,2000000002
"65",230,0.29,"NA","Xylem","Tropical seasonal forest","Ficus insipida",1000000079,2000000002
"66",415,0.28,"NA","Xylem","Tropical seasonal forest","Schefflera morototoni",1000000079,2000000002
"67",142.9625863,0.390097712,"10.83926914","Xylem","Tropical rainforest","Anacardium excelsum",1000000137,2000000002
"68",51.42868505,0.520247451,"NA","Xylem","Tropical rainforest","Cordia alliodora",1000000137,2000000002
"69",82.24273705,0.400137312,"NA","Xylem","Tropical rainforest","Ficus insipida",1000000137,2000000003
"70",262,0.376555556,"NA","Xylem","Tropical seasonal forest","Ficus insipida",1000000137,2000000003
"71",31.18344299,0.665210733,"NA","Xylem","Tropical rainforest","Manilkara bidentata",1000000137,2000000003
"72",153,0.872933333,"NA","Xylem","Tropical rainforest","Manilkara bidentata",1000000137,2000000003
"73",282,0.452333333,"NA","Xylem","Tropical rainforest","Protium panamense",1000000137,2000000003
"74",200.8621236,0.279688601,"NA","Xylem","Tropical rainforest","Schefflera morototoni",1000000137,2000000002
"75",302,0.521,"NA","Xylem","Tropical rainforest","Tachigali versicolor",1000000137,2000000003
"76",54.50311922,0.520305811,"NA","Xylem","Tropical rainforest","Tapirira guianensis",1000000137,2000000003
"77",337,0.457,"NA","Xylem","Tropical rainforest","Tapirira guianensis",1000000137,2000000003
"78",97.03223746,0.540195858,"NA","Xylem","Tropical rainforest","Trattinnickia aspera",1000000137,2000000003
"79",411,0.424,"NA","Xylem","Tropical rainforest","Trattinnickia aspera",1000000137,2000000003
"80",407,0.410166667,"NA","Xylem","Tropical rainforest","Vochysia ferruginea",1000000137,2000000003
"81",67.53855274,0.559462486,"NA","Xylem","Tropical seasonal forest","Blepharocalyx salicifolius",1000000106,1000025739
"82",73,0.56,"NA","Xylem","Tropical seasonal forest","Blepharocalyx salicifolius",1000000106,1000025739
"83",83,0.53,"NA","Xylem","Tropical seasonal forest","Byrsonima crassa",1000000106,1000025739
"84",73.82226809,0.589641657,"8.511380382","Xylem","Tropical seasonal forest","Caryocar brasiliense",1000000106,1000025739
"85",40,0.59,"8.511380382","Xylem","Tropical seasonal forest","Caryocar brasiliense",1000000106,1000025739
"86",107,0.5,"4.897788194","Xylem","Tropical seasonal forest","Kielmeyera coriacea",1000000106,1000025739
"87",89.43341979,0.569652856,"NA","Xylem","Tropical seasonal forest","Qualea parviflora",1000000106,1000025739
