Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
bursera simaruba,3.55,0.000214,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,15.31087462,0.305
byrsonima crassifolia,2.1,0.000225,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.584
calycophyllum candidissimum,1.11,0.000137,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.696666667
curatella americana,1.25,0.000127,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.65
enterolobium cyclocarpum,3.5,0.000426,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.39
gliricidia sepium,3.65,0.000275,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.6175
hymenaea courbaril,2.4,0.000169,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.79235
manilkara chicle,0.45,4.8E-05,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,1.04
quercus oleoides,2.1,0.000199,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.86
rehdera trinervis,1.72,0.000262,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,NaN
simarouba amara,1.2,0.000366,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.383333333
swietenia macrophylla,1.2,0.000144,NaN,NaN,10.90555556,-85.60194444,Brodribb et al. 2002,NaN,0.519545455
bursera simaruba,NaN,NaN,-1,54.28571429,10.90555556,-85.60194444,Brodribb et al. 2003,15.31087462,0.305
calycophyllum candidissimum,NaN,NaN,-2.87,26.57342657,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.696666667
enterolobium cyclocarpum,NaN,NaN,-2.73,49.35064935,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.39
hymenaea courbaril,NaN,NaN,-3,42.22222222,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.79235
quercus oleoides,NaN,NaN,-3.03,43.67816092,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.86
rehdera trinervis,NaN,NaN,-2.8,20,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,NaN
simarouba glauca,NaN,NaN,-2,54.28571429,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.383333333
swietenia macrophylla,NaN,NaN,-2.2,42.22222222,10.90555556,-85.60194444,Brodribb et al. 2003,NaN,0.519545455
