"","value","species_id","citation_id","site_id","treatment","trait_id","variable_id"
"1",0.305,227,1000000070,1000000232,2000000012,NA,1000000055
"2",0.584,35029,1000000070,1000000232,2000000012,NA,1000000055
"3",0.696666667,41267,1000000070,1000000232,2000000012,NA,1000000055
"4",0.65,1000003910,1000000070,1000000232,2000000012,NA,1000000055
"5",0.39,3762,1000000070,1000000232,2000000012,NA,1000000055
"6",0.6175,605,1000000070,1000000232,2000000012,NA,1000000055
"7",0.79235,27020,1000000070,1000000232,2000000012,NA,1000000055
"8",1.04,1000007816,1000000070,1000000232,2000000012,NA,1000000055
"9",0.86,1000020938,1000000070,1000000232,2000000012,NA,1000000055
"10",0.383333333,50962,1000000070,1000000232,2000000012,NA,1000000055
"11",0.519545455,1354,1000000070,1000000232,2000000012,NA,1000000055
"12",0.305,227,1000000113,1000000232,2000000012,NA,1000000055
"13",0.696666667,41267,1000000113,1000000232,2000000012,NA,1000000055
"14",0.39,3762,1000000113,1000000232,2000000012,NA,1000000055
"15",0.79235,27020,1000000113,1000000232,2000000012,NA,1000000055
"16",0.86,1000020938,1000000113,1000000232,2000000012,NA,1000000055
"17",0.383333333,13388,1000000113,1000000232,2000000012,NA,1000000055
"18",0.519545455,1354,1000000113,1000000232,2000000012,NA,1000000055
"19",0.633,1000004882,1000000114,1000025739,2000000012,NA,1000000055
"20",0.455,50498,1000000114,1000025739,2000000012,NA,1000000055
"21",0.33,1000001544,1000000069,1000025739,2000000012,NA,1000000055
"22",0.31,1000001544,1000000069,1000025739,2000000012,NA,1000000055
"23",0.53,1000001544,1000000069,1000025739,2000000012,NA,1000000055
"24",0.49,1000001544,1000000069,1000025739,2000000012,NA,1000000055
"25",0.35,10238,1000000069,1000025739,2000000012,NA,1000000055
"26",0.38,10238,1000000069,1000025739,2000000012,NA,1000000055
"27",0.34,10238,1000000069,1000025739,2000000012,NA,1000000055
"28",0.41,50687,1000000069,1000025739,2000000012,NA,1000000055
"29",0.42,50687,1000000069,1000025739,2000000012,NA,1000000055
"30",0.46,50687,1000000069,1000025739,2000000012,NA,1000000055
"31",0.46,1000012111,1000000069,1000025739,2000000012,NA,1000000055
"32",0.45,1000012111,1000000069,1000025739,2000000012,NA,1000000055
"33",0.48,1000012111,1000000069,1000025739,2000000012,NA,1000000055
"34",0.46,1000020872,1000000069,1000025739,2000000012,NA,1000000055
"35",0.56,1000020872,1000000069,1000025739,2000000012,NA,1000000055
"36",0.59,1000020872,1000000069,1000025739,2000000012,NA,1000000055
"37",0.466625,19340,1000000117,1000026724,2000000012,NA,1000000055
"38",0.41,1000020934,1000000117,1000026724,2000000012,NA,1000000055
"39",0.53,1000020916,1000000118,1000026724,2000000012,NA,1000000055
"40",0.51,1000020927,1000000118,1000026724,2000000012,NA,1000000055
"41",0.44,1000020895,1000000118,1000026724,2000000012,NA,1000000055
"42",0.55,1000020942,1000000118,1000026724,2000000012,NA,1000000055
"43",0.67,1000020905,1000000119,1000026727,2000000012,NA,1000000055
"44",0.25,1000020911,1000000119,1000026727,2000000012,NA,1000000055
"45",0.3,1000020890,1000000119,1000026727,2000000012,NA,1000000055
"46",0.71,1000020889,1000000119,1000026727,2000000012,NA,1000000055
"47",0.520307692,380,1000000027,1000025740,2000000012,NA,1000000055
"48",0.520307692,380,1000000027,1000005005,2000000012,NA,1000000055
"49",0.520307692,380,1000000027,1000000013,2000000012,NA,1000000055
"50",0.397,1000003442,1000000027,1000005005,2000000012,NA,1000000055
"51",0.39,1000003459,1000000027,1000025740,2000000012,NA,1000000055
"52",0.35,49943,1000000071,2000000002,2000000012,NA,1000000055
"53",0.27,49953,1000000071,2000000002,2000000012,NA,1000000055
"54",0.37,1000011255,1000000071,2000000002,2000000012,NA,1000000055
"55",0.41,49993,1000000071,2000000002,2000000012,NA,1000000055
"56",0.37,380,1000000071,2000000002,2000000012,NA,1000000055
"57",0.27,50567,1000000071,2000000002,2000000012,NA,1000000055
