Species,ksat,P50,Kexp,WD,Ref,Biome,Long,Lat
bursera simaruba,3.55,NaN,NaN,0.305,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
byrsonima crassifolia,2.1,NaN,NaN,0.584,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
calycophyllum candidissimum,1.11,NaN,NaN,0.696666667,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
curatella americana,1.25,NaN,NaN,0.65,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
enterolobium cyclocarpum,3.5,NaN,NaN,0.39,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
gliricidia sepium,3.65,NaN,NaN,0.6175,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
hymenaea courbaril,2.4,NaN,NaN,0.79235,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
manilkara chicle,0.45,NaN,NaN,1.04,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
simarouba amara,1.2,NaN,NaN,0.383333333,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
swietenia macrophylla,1.2,NaN,NaN,0.519545455,"Brodribb et al. 2002",Tropical seasonal forest,-85.60194444,10.90555556
erythroxylum suberosum,0.41,NaN,NaN,0.633,"Bucci et al. 2004",Tropical seasonal forest,-47.88333333,-15.93333333
blepharocalyx salicifolius,4.73,-2.17,1.745185185548,0.33,"Bucci et al. 2006",Tropical seasonal forest,-47.88333333,-15.93333333
caryocar brasiliense,3.5,-2.03,4.285555555736,0.35,"Bucci et al. 2006",Tropical seasonal forest,-47.88333333,-15.93333333
qualea parviflora,1.26,-2.23,1.214910393856,0.46,"Bucci et al. 2006",Tropical seasonal forest,-47.88333333,-15.93333333
hevea brasiliensis,NaN,-1.27,NaN,0.466625,"Chen et al. 2009a, b",Tropical rainforest,101.4167,21.6833
cordia alliodora,9.562827947,-3.6,2.26115702496,0.520307692,"Choat et al. 2007",Tropical seasonal forest,-85.35,10.35
cordia alliodora,10.99587564,-2.93,2.006126126464,0.520307692,"Choat et al. 2007",Tropical rainforest,-79.846036,9.166666667
cordia cymosa,7.806902666,-1.2,1.3511111112,NaN,"Choat et al. 2007",Tropical rainforest,-84,10.41666667
cordia lasiocalyx,3.764341188,-2.57,2.297882353304,0.397,"Choat et al. 2007",Tropical rainforest,-79.846036,9.166666667
cordia lucidula,3.323462731,-1.58,1.7277697844,NaN,"Choat et al. 2007",Tropical rainforest,-84,10.41666667
cordia nodosa,3.71533023,-2.34,2.079999999792,0.39,"Choat et al. 2007",Tropical seasonal forest,-85.35,10.35
cordia panamensis,11.63171081,-2.33,2.766875,NaN,"Choat et al. 2007",Tropical rainforest,-79.846036,9.166666667
