"","ksat","kl","P50","ax","lat","lon","SLA","WD","species","citation_id"
"1",3.55,0.000214,NA,NA,10.90555556,-85.60194444,15.31087462,0.305,"Bursera simaruba",1000000070
"2",2.1,0.000225,NA,NA,10.90555556,-85.60194444,NA,0.584,"Byrsonima crassifolia",1000000070
"3",1.11,0.000137,NA,NA,10.90555556,-85.60194444,NA,0.696666667,"Calycophyllum candidissimum",1000000070
"4",1.25,0.000127,NA,NA,10.90555556,-85.60194444,NA,0.65,"Curatella americana",1000000070
"5",3.5,0.000426,NA,NA,10.90555556,-85.60194444,NA,0.39,"Enterolobium cyclocarpum",1000000070
"6",3.65,0.000275,NA,NA,10.90555556,-85.60194444,NA,0.6175,"Gliricidia sepium",1000000070
"7",2.4,0.000169,NA,NA,10.90555556,-85.60194444,NA,0.79235,"Hymenaea courbaril",1000000070
"8",0.45,4.8e-05,NA,NA,10.90555556,-85.60194444,NA,1.04,"Manilkara chicle",1000000070
"9",2.1,0.000199,NA,NA,10.90555556,-85.60194444,NA,0.86,"Quercus oleoides",1000000070
"10",1.72,0.000262,NA,NA,10.90555556,-85.60194444,NA,NA,"Rehdera trinervis",1000000070
"11",1.2,0.000366,NA,NA,10.90555556,-85.60194444,NA,0.383333333,"Simarouba amara",1000000070
"12",1.2,0.000144,NA,NA,10.90555556,-85.60194444,NA,0.519545455,"Swietenia macrophylla",1000000070
"13",NA,NA,-1,54.28571429,10.90555556,-85.60194444,15.31087462,0.305,"Bursera simaruba",1000000113
"14",NA,NA,-2.87,26.57342657,10.90555556,-85.60194444,NA,0.696666667,"Calycophyllum candidissimum",1000000113
"15",NA,NA,-2.73,49.35064935,10.90555556,-85.60194444,NA,0.39,"Enterolobium cyclocarpum",1000000113
"16",NA,NA,-3,42.22222222,10.90555556,-85.60194444,NA,0.79235,"Hymenaea courbaril",1000000113
"17",NA,NA,-3.03,43.67816092,10.90555556,-85.60194444,NA,0.86,"Quercus oleoides",1000000113
"18",NA,NA,-2.8,20,10.90555556,-85.60194444,NA,NA,"Rehdera trinervis",1000000113
"19",NA,NA,-2,54.28571429,10.90555556,-85.60194444,NA,0.383333333,"Simarouba glauca",1000000113
"20",NA,NA,-2.2,42.22222222,10.90555556,-85.60194444,NA,0.519545455,"Swietenia macrophylla",1000000113
"21",0.41,0.000578,NA,NA,-15.93333333,-47.88333333,3.91,0.633,"Erythroxylum suberosum",1000000114
"22",0.93,0.001841,NA,NA,-15.93333333,-47.88333333,7.38,0.455,"Kielmeyera coriacea",1000000114
"23",4.73,0.00067,-2.17,20.10582011,-15.93333333,-47.88333333,15.8,0.33,"Blepharocalyx salicifolius",1000000069
"24",5.37,0.000682,-2.3,17.9245283,-15.93333333,-47.88333333,15.2,0.31,"Blepharocalyx salicifolius",1000000069
"25",2.05,0.000757,-1.93,14.78599222,-15.93333333,-47.88333333,10.2,0.53,"Blepharocalyx salicifolius",1000000069
"26",2.28,0.000776,-1.72,16.10169492,-15.93333333,-47.88333333,11.7,0.49,"Blepharocalyx salicifolius",1000000069
"27",3.5,0.000756,-2.03,52.77777778,-15.93333333,-47.88333333,14.9,0.35,"Caryocar brasiliense",1000000069
"28",3.88,0.000877,-1.97,21.46892655,-15.93333333,-47.88333333,17.4,0.38,"Caryocar brasiliense",1000000069
"29",2.67,0.001078,-1.48,14.96062992,-15.93333333,-47.88333333,14.5,0.35,"Caryocar brasiliense",1000000069
"30",2.78,0.001187,-1.62,15.57377049,-15.93333333,-47.88333333,10.8,0.34,"Caryocar brasiliense",1000000069
"31",1.69,0.000629,-2.03,11.9873817,-15.93333333,-47.88333333,8.1,0.41,"Ouratea hexasperma",1000000069
"32",1.62,0.000674,-1.87,10.21505376,-15.93333333,-47.88333333,10.5,0.42,"Ouratea hexasperma",1000000069
"33",1.11,0.000987,-1.48,12.7090301,-15.93333333,-47.88333333,7.5,0.42,"Ouratea hexasperma",1000000069
"34",0.96,0.000824,-1.48,12.17948718,-15.93333333,-47.88333333,7.64,0.46,"Ouratea hexasperma",1000000069
"35",1.26,0.000575,-2.23,13.62007168,-15.93333333,-47.88333333,7.9,0.46,"Qualea parviflora",1000000069
"36",1.7,0.000364,-2.5,12.79461279,-15.93333333,-47.88333333,7.9,0.45,"Qualea parviflora",1000000069
"37",0.94,0.00058,-1.65,11.01449275,-15.93333333,-47.88333333,6,0.48,"Qualea parviflora",1000000069
"38",1.15,0.000857,-1.72,10.38251366,-15.93333333,-47.88333333,5.7,0.48,"Qualea parviflora",1000000069
"39",3.23,0.00055,-2.17,21.34831461,-15.93333333,-47.88333333,5.8,0.46,"Schefflera macrocarpa",1000000069
"40",2.67,0.000389,-2.43,25,-15.93333333,-47.88333333,5.4,0.56,"Schefflera macrocarpa",1000000069
"41",0.96,0.000712,-1.77,14.23220974,-15.93333333,-47.88333333,2.9,0.59,"Schefflera macrocarpa",1000000069
"42",2.14,0.000666,-1.72,17.04035874,-15.93333333,-47.88333333,3.76,0.56,"Schefflera macrocarpa",1000000069
"43",NA,0.000578,NA,NA,-15.93333333,-47.88333333,NA,NA,"Erythroxylum suberosum",1000000115
"44",NA,0.00184,-1.91,NA,-15.93333333,-47.88333333,4.897788194,NA,"Kielmeyera coriacea",1000000115
"45",NA,0.0012,-3.35,NA,-15.93333333,-47.88333333,NA,NA,"Styrax ferrugineus",1000000115
"46",NA,NA,-1.1,NA,-20.45,44.8167,NA,NA,"Adansonia rubrostipa",1000000116
"47",NA,NA,-1.7,NA,-20.45,44.8167,NA,NA,"Adansonia za",1000000116
"48",NA,NA,-1.27,NA,21.6833,101.4167,NA,0.466625,"Hevea brasiliensis",1000000117
"49",4.41,0.000364,-1.14,52.77777778,21.68333333,101.4166667,NA,0.41,"Macaranga denticulata",1000000117
"50",6.21,NA,-1.53,NA,21.9,101.7666667,11.04,0.53,"Celtis tetrandra",1000000118
"51",3.95,NA,-1.43,NA,21.9,101.7666667,13.29,0.51,"Ficus concinna",1000000118
"52",2.2,NA,-2.51,NA,21.9,101.7666667,12.5,0.44,"Harpullia cupanioides",1000000118
"53",1.69,NA,-2.25,NA,21.9,101.7666667,NA,NA,"Michelia hypolampra",1000000118
"54",1.86,NA,-2.93,NA,21.9,101.7666667,12.08,0.55,"Streblus asper",1000000118
"55",4.89,0.001003,-5.56,10.88825215,-19.18333333,145.75,9.44,0.67,"Alphitonia excelsa",1000000119
"56",NA,NA,-5.12,NA,-19.1833,145.75,NA,NA,"Austromyrtus bidwillii",1000000119
"57",6.7,0.002019,-3.17,19.19191919,-19.18333333,145.75,13.44,0.25,"Brachychiton australis",1000000119
"58",7.75,0.003982,-1.44,62.29508197,-19.18333333,145.75,16.5,0.3,"Cochlospermum gillivraei",1000000119
"59",1.24,0.00018,-5.12,5.523255814,-19.18333333,145.75,11.61,0.71,"Gossia bidwillii",1000000119
"60",9.562827947,0.001258637,-3.6,15.70247934,10.35,-85.35,10.13067281,0.520307692,"Cordia alliodora",1000000027
"61",10.99587564,0.001203539,-2.93,17.11711712,9.166666667,-79.846036,11.44952373,0.520307692,"Cordia alliodora",1000000027
"62",8.931733887,0.001022978,-1.78,20.32085561,10.41666667,-84,11.62621607,0.520307692,"Cordia alliodora",1000000027
"63",NA,NA,-2.34,NA,10.35,-85.35,NA,NA,"Cordia collococa",1000000027
"64",7.806902666,0.000807631,-1.2,28.14814815,10.41666667,-84,13.69162853,NA,"Cordia cymosa",1000000027
"65",1.842397477,0.000248493,NA,NA,10.35,-85.35,32.62398287,NA,"Cordia inermis",1000000027
"66",3.764341188,0.000191891,-2.57,22.35294118,9.166666667,-79.846036,17.85176439,0.397,"Cordia lasiocalyx",1000000027
"67",3.323462731,0.000288741,-1.58,27.3381295,10.41666667,-84,17.82559317,NA,"Cordia lucidula",1000000027
"68",3.71533023,0.000404829,-2.34,22.22222222,10.35,-85.35,7.565508966,0.39,"Cordia nodosa",1000000027
"69",11.63171081,0.000731387,-2.33,29.6875,9.166666667,-79.846036,11.03015463,NA,"Cordia panamensis",1000000027
"70",4.52,0.00047,-0.9,NA,8.98333333,-79.55,8.47,0.35,"Anacardium excelsum",1000000071
"71",8.68,0.00072,-0.17,NA,8.98333333,-79.55,15.3,0.27,"Annona spraguei",1000000071
"72",4.25,0.00054,-1.19,NA,8.98333333,-79.55,15.7,0.37,"Antirrhea trichantha",1000000071
"73",3.19,0.00049,-0.48,NA,8.98333333,-79.55,14.1,0.41,"Astronium graveolens",1000000071
"74",14.8,0.00178,-0.4,NA,8.98333333,-79.55,NA,0.37,"Cordia alliodora",1000000071
"75",1.26,0.00022,-0.87,NA,8.98333333,-79.55,16.1,0.27,"Luehea seemannii",1000000071
"76",NA,NA,-3.4,NA,19.5653,-96.3859,NA,0.61,"Laguncularia racemosa",1000000073
"77",1.12,0.000125,-3.1,NA,-5.133333333,145.6833333,NA,NA,"Gnetum costatum",1000000121
"78",1.1,0.000127,-4.620333333,NA,-5.133333333,145.6833333,NA,0.61,"Gnetum gnemon",1000000121
"79",9.2,0.00041,NA,NA,-5.133333333,145.6833333,NA,NA,"Hibiscus",1000000121
"80",3.87,0.00032,NA,NA,-5.133333333,145.6833333,NA,NA,"Homalanthus novoguineensis",1000000121
"81",1.45455,0.000188,NA,NA,-5.133333333,145.6833333,NA,NA,"Horsfieldia",1000000121
"82",8.2,0.0004445,NA,NA,-5.133333333,145.6833333,NA,0.428666667,"Kleinhovia hospita",1000000121
"83",0.45,0.000125,NA,NA,-5.133333333,145.6833333,NA,0.476875,"Podocarpus neriifolius",1000000121
"84",5.87,0.00024,NA,NA,-5.133333333,145.6833333,10.47128548,0.345333333,"Trema orientalis",1000000121
"85",7.66942,0.000297,NA,NA,-5.133333333,145.6833333,NA,NA,"Trichospermum pleiostigma",1000000121
"86",0.23,0.00062,NA,NA,10.2,-84.7,NA,NA,"Ardisia palmana",1000000075
"87",0.12,0.00013,NA,NA,10.2,-84.7,3.801893963,NA,"Clusia stenophylla",1000000075
"88",0.39,0.00041,NA,NA,10.2,-84.7,NA,NA,"Cosmibuena valerioi",1000000075
"89",0.64,0.00062,NA,NA,10.2,-84.7,NA,NA,"Dendropanax latilobus",1000000075
"90",0.39,0.00033,NA,NA,10.2,-84.7,NA,NA,"Drimys granadensis",1000000075
"91",0.51,0.00045,NA,NA,10.2,-84.7,NA,NA,"Miconia",1000000075
"92",0.48,0.00026,NA,NA,10.2,-84.7,NA,NA,"Oreopanax nubigenus",1000000075
"93",0.65,0.00063,NA,NA,10.2,-84.7,NA,NA,"Schefflera pittieri",1000000075
"94",1.7,NA,NA,NA,19.5,-105.05,NA,0.7,"Caesalpinia eriostachys",1000000076
"95",0.9,NA,NA,NA,19.5,-105.05,NA,0.56,"Capparis indica",1000000076
"96",3,NA,NA,NA,19.5,-105.05,NA,0.31,"Cnidoscolus spinosus",1000000076
"97",2.9,NA,NA,NA,19.5,-105.05,NA,0.59,"Cordia alliodora",1000000076
"98",1.7,NA,NA,NA,19.5,-105.05,NA,0.475,"Guapira",1000000076
"99",5.5,NA,NA,NA,19.5,-105.05,NA,0.47,"Heliocarpus pallidus",1000000076
"100",2.2,NA,NA,NA,19.5,-105.05,NA,0.605,"Ipomoea wolcottiana",1000000076
"101",1.1,NA,NA,NA,19.5,-105.05,NA,0.725,"Psidium sartorianum",1000000076
"102",2.4,NA,NA,NA,19.5,-105.05,NA,0.625,"Ruprechtia fusca",1000000076
"103",2.9,NA,NA,NA,19.5,-105.05,NA,0.39,"Spondias purpurea",1000000076
"104",NA,NA,-1.64,50.66666667,10.7,-84.11666667,NA,0.454669,"Drimys granadensis",1000000123
"105",NA,NA,-4.68,28.78787879,-16.31,145.15,NA,0.554086,"Drimys insipida",1000000123
"106",NA,NA,-2.3,NA,-30.675,-71.675,6.27335696,0.415,"Drimys winteri",1000000123
"107",NA,NA,-3,35.51401869,-22.047,166.468,NA,NA,"Zygogynum baillonii",1000000123
"108",NA,NA,-2.3,40.86021505,-21.37,165.5,NA,NA,"Zygogynum bicolor",1000000123
"109",NA,NA,-5.2,39.58333333,-22.166,166.534,NA,0.627626,"Zygogynum pancheri",1000000123
"110",NA,NA,-3.45,39.17525773,-21.34,165.46,NA,0.574514,"Zygogynum pomiferum",1000000123
"111",NA,NA,-3.6,15.96638655,-16.35,145.17,NA,NA,"Zygogynum queenslandianum",1000000123
"112",NA,NA,-3.27,43.18181818,-16.08333333,145.4,NA,0.408366,"Zygogynum semecarpoides",1000000123
"113",4.73,0.001092,-3.1,NA,-15.93333333,-47.88333333,NA,0.53,"Acinodendron pohlianum",1000000101
"114",2.94,0.000412,-2.8,NA,-15.93333333,-47.88333333,NA,0.56,"Hymenaea martiana",1000000101
"115",3.59,0.000656,-3.17,NA,-15.93333333,-47.88333333,NA,0.72,"Hymenaea stigonocarpa",1000000101
"116",5.37,0.000344,-3.4,NA,-15.93333333,-47.88333333,NA,0.74,"Miconia cuspidata",1000000101
"117",NA,NA,-3.1,NA,-15.9333,-47.8833,NA,NA,"Miconia pohliana",1000000101
"118",3.25,0.000434,-3.08,NA,-15.93333333,-47.88333333,NA,0.62,"Myrsine ferruginea",1000000101
"119",2,0.000384,-2.12,NA,-15.93333333,-47.88333333,NA,0.52,"Myrsine guianensis",1000000101
"120",2.59,0.000487,-3.35,NA,-15.93333333,-47.88333333,NA,0.49,"Styrax ferrugineus",1000000101
"121",3.45,0.00069,-2,NA,-15.93333333,-47.88333333,NA,0.54,"Styrax pohlii",1000000101
"122",1.62,0.000417,-1.5,NA,-15.93333333,-47.88333333,NA,0.38,"Symplocos lanceolata",1000000101
"123",4.78,0.000856,-1.6,NA,-15.93333333,-47.88333333,NA,0.48,"Symplocos mosenii",1000000101
"124",1.1,0.0051,-1.45,NA,8.98561944,-79.54694444,10.83926914,0.43,"Anacardium excelsum",1000000078
"125",NA,0.00059,-0.9,38,9.166666667,-79.846036,15.31087462,0.305,"Bursera simaruba",1000000060
"126",NA,3.46e-05,-0.8,25.33333333,9.166666667,-79.846036,NA,0.53,"Carapa guianensis",1000000060
"127",NA,0.000658,-3.2,58.46153846,9.166666667,-79.846036,NA,0.520307692,"Cordia alliodora",1000000060
"128",NA,0.000162,-1.6,63.33333333,9.166666667,-79.846036,NA,0.4,"Ficus citrifolia",1000000060
"129",NA,6.3e-05,-1.6,34.54545455,9.166666667,-79.846036,NA,0.413571429,"Prioria copaifera",1000000060
"130",2.1,0.00114,-1,95,9.166666667,-79.846036,NA,0.19,"Ochroma pyramidale",1000000061
"131",1.6,0.000515,-1,95,9.166666667,-79.846036,7.762471166,0.25,"Pseudobombax septenatum",1000000061
"132",NA,NA,-1.56,NA,9.166666667,-79.85,10.83926914,0.39,"Anacardium excelsum",1000000079
"133",NA,NA,-3,NA,9.166666667,-79.85,NA,0.52,"Cordia alliodora",1000000079
"134",NA,NA,-1.66,NA,9.166666667,-79.85,NA,0.29,"Ficus insipida",1000000079
"135",NA,NA,-1.68,NA,9.166666667,-79.85,NA,0.28,"Schefflera morototoni",1000000079
"136",1.556485,NA,NA,NA,9.2833,-79.975,NA,NA,"Aspidosperma cruenta",1000000124
"137",NA,NA,-2.1,NA,9.166666667,-79.85,NA,0.655,"Chrysophyllum cainito",1000000124
"138",NA,NA,-1.9,NA,9.166666667,-79.85,NA,0.376555556,"Ficus insipida",1000000124
"139",8.761506,NA,NA,NA,9.1667,-79.85,9.66050879,0.417,"Luehea seemannii",1000000124
"140",NA,NA,-2.7,NA,9.283333333,-79.975,NA,0.872933333,"Manilkara bidentata",1000000124
"141",NA,NA,-1.7,NA,9.283333333,-79.975,NA,0.452333333,"Protium panamense",1000000124
"142",NA,NA,-1.6,NA,9.283333333,-79.975,NA,0.521,"Tachigali versicolor",1000000124
"143",NA,NA,-1.8,NA,9.283333333,-79.975,NA,0.457,"Tapirira guianensis",1000000124
"144",NA,NA,-1.1,NA,9.283333333,-79.975,NA,0.424,"Trattinnickia aspera",1000000124
"145",NA,NA,-1,NA,9.283333333,-79.975,NA,0.410166667,"Vochysia ferruginea",1000000124
"146",5.36,NA,-0.96,NA,19.5,-105.05,NA,0.48,"Amphipterygium adstringens",1000000125
"147",0.99,NA,-4.61,NA,19.5,-105.05,NA,0.56,"Apoplanesia paniculata",1000000125
"148",10.24,NA,-1.36,NA,19.5,-105.05,NA,0.4,"Bursera heteresthes",1000000125
"149",15.4,NA,-2.54,NA,19.5,-105.05,NA,0.4,"Bursera instabilis",1000000125
"150",4.95,NA,-2.07,NA,19.5,-105.05,NA,0.85,"Caesalpinia eriostachys",1000000125
"151",2.6,NA,-2.51,NA,19.5,-105.05,NA,0.71,"Caesalpinia sclerocarpa",1000000125
"152",1.21,NA,-3.18,NA,19.5,-105.05,NA,0.63,"Cordia alliodora",1000000125
"153",1.59,NA,-1.15,NA,19.5,-105.05,NA,0.54,"Cordia elaeagnoides",1000000125
