"","X","ksat","kl","P50","ax","SLA","WD","species","citation_id","site_id"
"1",1,"3.55","0.000214","NA","NA","15.31087462","0.305","Bursera simaruba",1000000070,1000000232
"2",2,"2.1","0.000225","NA","NA","NA","0.584","Byrsonima crassifolia",1000000070,1000000232
"3",3,"1.11","0.000137","NA","NA","NA","0.696666667","Calycophyllum candidissimum",1000000070,1000000232
"4",4,"1.25","0.000127","NA","NA","NA","0.65","Curatella americana",1000000070,1000000232
"5",5,"3.5","0.000426","NA","NA","NA","0.39","Enterolobium cyclocarpum",1000000070,1000000232
"6",6,"3.65","0.000275","NA","NA","NA","0.6175","Gliricidia sepium",1000000070,1000000232
"7",7,"2.4","0.000169","NA","NA","NA","0.79235","Hymenaea courbaril",1000000070,1000000232
"8",8,"0.45","4.8e-05","NA","NA","NA","1.04","Manilkara chicle",1000000070,1000000232
"9",9,"2.1","0.000199","NA","NA","NA","0.86","Quercus oleoides",1000000070,1000000232
"10",10,"1.72","0.000262","NA","NA","NA","NA","Rehdera trinervis",1000000070,1000000232
"11",11,"1.2","0.000366","NA","NA","NA","0.383333333","Simarouba amara",1000000070,1000000232
"12",12,"1.2","0.000144","NA","NA","NA","0.519545455","Swietenia macrophylla",1000000070,1000000232
"13",13,"NA","NA","-1","54.28571429","15.31087462","0.305","Bursera simaruba",1000000113,1000000232
"14",14,"NA","NA","-2.87","26.57342657","NA","0.696666667","Calycophyllum candidissimum",1000000113,1000000232
"15",15,"NA","NA","-2.73","49.35064935","NA","0.39","Enterolobium cyclocarpum",1000000113,1000000232
"16",16,"NA","NA","-3","42.22222222","NA","0.79235","Hymenaea courbaril",1000000113,1000000232
"17",17,"NA","NA","-3.03","43.67816092","NA","0.86","Quercus oleoides",1000000113,1000000232
"18",18,"NA","NA","-2.8","20","NA","NA","Rehdera trinervis",1000000113,1000000232
"19",19,"NA","NA","-2","54.28571429","NA","0.383333333","Simarouba glauca",1000000113,1000000232
"20",20,"NA","NA","-2.2","42.22222222","NA","0.519545455","Swietenia macrophylla",1000000113,1000000232
"21",21,"0.41","0.000578","NA","NA","3.91","0.633","Erythroxylum suberosum",1000000114,1000025739
"22",22,"0.93","0.001841","NA","NA","7.38","0.455","Kielmeyera coriacea",1000000114,1000025739
"23",23,"4.73","0.00067","-2.17","20.10582011","15.8","0.33","Blepharocalyx salicifolius",1000000069,1000025739
"24",24,"5.37","0.000682","-2.3","17.9245283","15.2","0.31","Blepharocalyx salicifolius",1000000069,1000025739
"25",25,"2.05","0.000757","-1.93","14.78599222","10.2","0.53","Blepharocalyx salicifolius",1000000069,1000025739
"26",26,"2.28","0.000776","-1.72","16.10169492","11.7","0.49","Blepharocalyx salicifolius",1000000069,1000025739
"27",27,"3.5","0.000756","-2.03","52.77777778","14.9","0.35","Caryocar brasiliense",1000000069,1000025739
"28",28,"3.88","0.000877","-1.97","21.46892655","17.4","0.38","Caryocar brasiliense",1000000069,1000025739
"29",29,"2.67","0.001078","-1.48","14.96062992","14.5","0.35","Caryocar brasiliense",1000000069,1000025739
"30",30,"2.78","0.001187","-1.62","15.57377049","10.8","0.34","Caryocar brasiliense",1000000069,1000025739
"31",31,"1.69","0.000629","-2.03","11.9873817","8.1","0.41","Ouratea hexasperma",1000000069,1000025739
"32",32,"1.62","0.000674","-1.87","10.21505376","10.5","0.42","Ouratea hexasperma",1000000069,1000025739
"33",33,"1.11","0.000987","-1.48","12.7090301","7.5","0.42","Ouratea hexasperma",1000000069,1000025739
"34",34,"0.96","0.000824","-1.48","12.17948718","7.64","0.46","Ouratea hexasperma",1000000069,1000025739
"35",35,"1.26","0.000575","-2.23","13.62007168","7.9","0.46","Qualea parviflora",1000000069,1000025739
"36",36,"1.7","0.000364","-2.5","12.79461279","7.9","0.45","Qualea parviflora",1000000069,1000025739
"37",37,"0.94","0.00058","-1.65","11.01449275","6","0.48","Qualea parviflora",1000000069,1000025739
"38",38,"1.15","0.000857","-1.72","10.38251366","5.7","0.48","Qualea parviflora",1000000069,1000025739
"39",39,"3.23","0.00055","-2.17","21.34831461","5.8","0.46","Schefflera macrocarpa",1000000069,1000025739
"40",40,"2.67","0.000389","-2.43","25","5.4","0.56","Schefflera macrocarpa",1000000069,1000025739
"41",41,"0.96","0.000712","-1.77","14.23220974","2.9","0.59","Schefflera macrocarpa",1000000069,1000025739
"42",42,"2.14","0.000666","-1.72","17.04035874","3.76","0.56","Schefflera macrocarpa",1000000069,1000025739
"43",43,"NA","0.000578","NA","NA","NA","NA","Erythroxylum suberosum",1000000115,1000025739
"44",44,"NA","0.00184","-1.91","NA","4.897788194","NA","Kielmeyera coriacea",1000000115,1000025739
"45",45,"NA","0.0012","-3.35","NA","NA","NA","Styrax ferrugineus",1000000115,1000025739
"46",46,"NA","NA","-1.1","NA","NA","NA","Adansonia rubrostipa",1000000116,1000026726
"47",47,"NA","NA","-1.7","NA","NA","NA","Adansonia za",1000000116,1000026726
"48",48,"NA","NA","-1.27","NA","NA","0.466625","Hevea brasiliensis",1000000117,1000026724
"49",49,"4.41","0.000364","-1.14","52.77777778","NA","0.41","Macaranga denticulata",1000000117,1000026724
"50",50,"6.21","NA","-1.53","NA","11.04","0.53","Celtis tetrandra",1000000118,1000026724
"51",51,"3.95","NA","-1.43","NA","13.29","0.51","Ficus concinna",1000000118,1000026724
"52",52,"2.2","NA","-2.51","NA","12.5","0.44","Harpullia cupanioides",1000000118,1000026724
"53",53,"1.69","NA","-2.25","NA","NA","NA","Michelia hypolampra",1000000118,1000026724
"54",54,"1.86","NA","-2.93","NA","12.08","0.55","Streblus asper",1000000118,1000026724
"55",55,"4.89","0.001003","-5.56","10.88825215","9.44","0.67","Alphitonia excelsa",1000000119,1000026727
"56",56,"NA","NA","-5.12","NA","NA","NA","Austromyrtus bidwillii",1000000119,1000026727
"57",57,"6.7","0.002019","-3.17","19.19191919","13.44","0.25","Brachychiton australis",1000000119,1000026727
"58",58,"7.75","0.003982","-1.44","62.29508197","16.5","0.3","Cochlospermum gillivraei",1000000119,1000026727
"59",59,"1.24","0.00018","-5.12","5.523255814","11.61","0.71","Gossia bidwillii",1000000119,1000026727
"60",60,"9.562827947","0.001258637","-3.6","15.70247934","10.13067281","0.520307692","Cordia alliodora",1000000027,1000025740
"61",61,"10.99587564","0.001203539","-2.93","17.11711712","11.44952373","0.520307692","Cordia alliodora",1000000027,1000005005
"62",62,"8.931733887","0.001022978","-1.78","20.32085561","11.62621607","0.520307692","Cordia alliodora",1000000027,1000000013
"63",63,"NA","NA","-2.34","NA","NA","NA","Cordia collococa",1000000027,1000025740
"64",64,"7.806902666","0.000807631","-1.2","28.14814815","13.69162853","NA","Cordia cymosa",1000000027,1000000013
"65",65,"1.842397477","0.000248493","NA","NA","32.62398287","NA","Cordia inermis",1000000027,1000025740
"66",66,"3.764341188","0.000191891","-2.57","22.35294118","17.85176439","0.397","Cordia lasiocalyx",1000000027,1000005005
"67",67,"3.323462731","0.000288741","-1.58","27.3381295","17.82559317","NA","Cordia lucidula",1000000027,1000000013
"68",68,"3.71533023","0.000404829","-2.34","22.22222222","7.565508966","0.39","Cordia nodosa",1000000027,1000025740
"69",69,"11.63171081","0.000731387","-2.33","29.6875","11.03015463","NA","Cordia panamensis",1000000027,1000005005
"70",70,"4.52","0.00047","-0.9","NA","8.47","0.35","Anacardium excelsum",1000000071,2000000002
"71",71,"8.68","0.00072","-0.17","NA","15.3","0.27","Annona spraguei",1000000071,2000000002
"72",72,"4.25","0.00054","-1.19","NA","15.7","0.37","Antirrhea trichantha",1000000071,2000000002
"73",73,"3.19","0.00049","-0.48","NA","14.1","0.41","Astronium graveolens",1000000071,2000000002
"74",74,"14.8","0.00178","-0.4","NA","NA","0.37","Cordia alliodora",1000000071,2000000002
"75",75,"1.26","0.00022","-0.87","NA","16.1","0.27","Luehea seemannii",1000000071,2000000002
"76",76,"21","NA","-1.4","26.38888889","NA","0.55","Blepharocalyx salicifolius",1000000105,1000025739
"77",77,"49","NA","-0.9","24.35897436","NA","0.52","Byrsonima crassa",1000000105,1000025739
"78",78,"32","NA","-0.8","39.58333333","4.897788194","0.66","Kielmeyera coriacea",1000000105,1000025739
"79",79,"47","NA","-1","19.79166667","NA","0.28","Qualea parviflora",1000000105,1000025739
"80",80,"NA","NA","-3.4","NA","NA","0.61","Laguncularia racemosa",1000000073,1000025741
"81",81,"1.12","0.000125","-3.1","NA","NA","NA","Gnetum costatum",1000000121,1000025742
"82",82,"1.1","0.000127","-4.620333333","NA","NA","0.61","Gnetum gnemon",1000000121,1000025742
"83",83,"9.2","0.00041","NA","NA","NA","NA","Hibiscus",1000000121,1000025742
"84",84,"3.87","0.00032","NA","NA","NA","NA","Homalanthus novoguineensis",1000000121,1000025742
"85",85,"1.45455","0.000188","NA","NA","NA","NA","Horsfieldia",1000000121,1000025742
"86",86,"8.2","0.0004445","NA","NA","NA","0.428666667","Kleinhovia hospita",1000000121,1000025742
"87",87,"0.45","0.000125","NA","NA","NA","0.476875","Podocarpus neriifolius",1000000121,1000025742
"88",88,"5.87","0.00024","NA","NA","10.47128548","0.345333333","Trema orientalis",1000000121,1000025742
"89",89,"7.66942","0.000297","NA","NA","NA","NA","Trichospermum pleiostigma",1000000121,1000025742
"90",90,"0.23","0.00062","NA","NA","NA","NA","Ardisia palmana",1000000075,1000025743
"91",91,"0.12","0.00013","NA","NA","3.801893963","NA","Clusia stenophylla",1000000075,1000025743
"92",92,"0.39","0.00041","NA","NA","NA","NA","Cosmibuena valerioi",1000000075,1000025743
"93",93,"0.64","0.00062","NA","NA","NA","NA","Dendropanax latilobus",1000000075,1000025743
