"","ksat","kl","P50","ax","SLA","WD","citation_id","site_id","species_id"
"1","3.55","0.000214","NA","NA","15.31087462","0.305",1000000070,1000000232,227
"2","2.1","0.000225","NA","NA","NA","0.584",1000000070,1000000232,35029
"3","1.11","0.000137","NA","NA","NA","0.696666667",1000000070,1000000232,41267
"4","1.25","0.000127","NA","NA","NA","0.65",1000000070,1000000232,1000003910
"5","3.5","0.000426","NA","NA","NA","0.39",1000000070,1000000232,3762
"6","3.65","0.000275","NA","NA","NA","0.6175",1000000070,1000000232,605
"7","2.4","0.000169","NA","NA","NA","0.79235",1000000070,1000000232,27020
"8","0.45","4.8e-05","NA","NA","NA","1.04",1000000070,1000000232,1000007816
"9","2.1","0.000199","NA","NA","NA","0.86",1000000070,1000000232,1000020938
"10","1.72","0.000262","NA","NA","NA","NA",1000000070,1000000232,1000020939
"11","1.2","0.000366","NA","NA","NA","0.383333333",1000000070,1000000232,50962
"12","1.2","0.000144","NA","NA","NA","0.519545455",1000000070,1000000232,1354
"13","NA","NA","-1","54.28571429","15.31087462","0.305",1000000113,1000000232,227
"14","NA","NA","-2.87","26.57342657","NA","0.696666667",1000000113,1000000232,41267
"15","NA","NA","-2.73","49.35064935","NA","0.39",1000000113,1000000232,3762
"16","NA","NA","-3","42.22222222","NA","0.79235",1000000113,1000000232,27020
"17","NA","NA","-3.03","43.67816092","NA","0.86",1000000113,1000000232,1000020938
"18","NA","NA","-2.8","20","NA","NA",1000000113,1000000232,1000020939
"19","NA","NA","-2","54.28571429","NA","0.383333333",1000000113,1000000232,13388
"20","NA","NA","-2.2","42.22222222","NA","0.519545455",1000000113,1000000232,1354
"21","0.41","0.000578","NA","NA","3.91","0.633",1000000114,1000025739,1000004882
"22","0.93","0.001841","NA","NA","7.38","0.455",1000000114,1000025739,50498
"23","4.73","0.00067","-2.17","20.10582011","15.8","0.33",1000000069,1000025739,1000001544
"24","5.37","0.000682","-2.3","17.9245283","15.2","0.31",1000000069,1000025739,1000001544
"25","2.05","0.000757","-1.93","14.78599222","10.2","0.53",1000000069,1000025739,1000001544
"26","2.28","0.000776","-1.72","16.10169492","11.7","0.49",1000000069,1000025739,1000001544
"27","3.5","0.000756","-2.03","52.77777778","14.9","0.35",1000000069,1000025739,10238
"28","3.88","0.000877","-1.97","21.46892655","17.4","0.38",1000000069,1000025739,10238
"29","2.67","0.001078","-1.48","14.96062992","14.5","0.35",1000000069,1000025739,10238
"30","2.78","0.001187","-1.62","15.57377049","10.8","0.34",1000000069,1000025739,10238
"31","1.69","0.000629","-2.03","11.9873817","8.1","0.41",1000000069,1000025739,50687
"32","1.62","0.000674","-1.87","10.21505376","10.5","0.42",1000000069,1000025739,50687
"33","1.11","0.000987","-1.48","12.7090301","7.5","0.42",1000000069,1000025739,50687
"34","0.96","0.000824","-1.48","12.17948718","7.64","0.46",1000000069,1000025739,50687
"35","1.26","0.000575","-2.23","13.62007168","7.9","0.46",1000000069,1000025739,1000012111
"36","1.7","0.000364","-2.5","12.79461279","7.9","0.45",1000000069,1000025739,1000012111
"37","0.94","0.00058","-1.65","11.01449275","6","0.48",1000000069,1000025739,1000012111
"38","1.15","0.000857","-1.72","10.38251366","5.7","0.48",1000000069,1000025739,1000012111
"39","3.23","0.00055","-2.17","21.34831461","5.8","0.46",1000000069,1000025739,1000020872
"40","2.67","0.000389","-2.43","25","5.4","0.56",1000000069,1000025739,1000020872
"41","0.96","0.000712","-1.77","14.23220974","2.9","0.59",1000000069,1000025739,1000020872
"42","2.14","0.000666","-1.72","17.04035874","3.76","0.56",1000000069,1000025739,1000020872
"43","NA","0.000578","NA","NA","NA","NA",1000000115,1000025739,1000004882
"44","NA","0.00184","-1.91","NA","4.897788194","NA",1000000115,1000025739,50498
"45","NA","0.0012","-3.35","NA","NA","NA",1000000115,1000025739,1000020874
"46","NA","NA","-1.1","NA","NA","NA",1000000116,1000026726,1000020903
"47","NA","NA","-1.7","NA","NA","NA",1000000116,1000026726,1000020904
"48","NA","NA","-1.27","NA","NA","0.466625",1000000117,1000026724,19340
"49","4.41","0.000364","-1.14","52.77777778","NA","0.41",1000000117,1000026724,1000020934
"50","6.21","NA","-1.53","NA","11.04","0.53",1000000118,1000026724,1000020916
"51","3.95","NA","-1.43","NA","13.29","0.51",1000000118,1000026724,1000020927
"52","2.2","NA","-2.51","NA","12.5","0.44",1000000118,1000026724,1000020895
"53","1.69","NA","-2.25","NA","NA","NA",1000000118,1000026724,1000020896
"54","1.86","NA","-2.93","NA","12.08","0.55",1000000118,1000026724,1000020942
"55","4.89","0.001003","-5.56","10.88825215","9.44","0.67",1000000119,1000026727,1000020905
"56","NA","NA","-5.12","NA","NA","NA",1000000119,1000026727,1000020889
"57","6.7","0.002019","-3.17","19.19191919","13.44","0.25",1000000119,1000026727,1000020911
"58","7.75","0.003982","-1.44","62.29508197","16.5","0.3",1000000119,1000026727,1000020890
"59","1.24","0.00018","-5.12","5.523255814","11.61","0.71",1000000119,1000026727,1000020889
"60","9.562827947","0.001258637","-3.6","15.70247934","10.13067281","0.520307692",1000000027,1000025740,380
"61","10.99587564","0.001203539","-2.93","17.11711712","11.44952373","0.520307692",1000000027,1000005005,380
"62","8.931733887","0.001022978","-1.78","20.32085561","11.62621607","0.520307692",1000000027,1000000013,380
"63","NA","NA","-2.34","NA","NA","NA",1000000027,1000025740,1000003459
"64","7.806902666","0.000807631","-1.2","28.14814815","13.69162853","NA",1000000027,1000000013,1000003422
"65","1.842397477","0.000248493","NA","NA","32.62398287","NA",1000000027,1000025740,1000020891
"66","3.764341188","0.000191891","-2.57","22.35294118","17.85176439","0.397",1000000027,1000005005,1000003442
"67","3.323462731","0.000288741","-1.58","27.3381295","17.82559317","NA",1000000027,1000000013,1000003446
"68","3.71533023","0.000404829","-2.34","22.22222222","7.565508966","0.39",1000000027,1000025740,1000003459
"69","11.63171081","0.000731387","-2.33","29.6875","11.03015463","NA",1000000027,1000005005,1000003460
"70","4.52","0.00047","-0.9","NA","8.47","0.35",1000000071,2000000002,49943
"71","8.68","0.00072","-0.17","NA","15.3","0.27",1000000071,2000000002,49953
"72","4.25","0.00054","-1.19","NA","15.7","0.37",1000000071,2000000002,1000011255
"73","3.19","0.00049","-0.48","NA","14.1","0.41",1000000071,2000000002,49993
"74","14.8","0.00178","-0.4","NA","NA","0.37",1000000071,2000000002,380
"75","1.26","0.00022","-0.87","NA","16.1","0.27",1000000071,2000000002,50567
"76","NA","NA","-3.4","NA","NA","0.61",1000000073,1000025741,746
"77","1.12","0.000125","-3.1","NA","NA","NA",1000000121,1000025742,1000020928
"78","1.1","0.000127","-4.620333333","NA","NA","0.61",1000000121,1000025742,48766
"79","9.2","0.00041","NA","NA","NA","NA",1000000121,1000025742,19743
"80","3.87","0.00032","NA","NA","NA","NA",1000000121,1000025742,1000020931
"81","1.45455","0.000188","NA","NA","NA","NA",1000000121,1000025742,24048
"82","8.2","0.0004445","NA","NA","NA","0.428666667",1000000121,1000025742,44340
"83","0.45","0.000125","NA","NA","NA","0.476875",1000000121,1000025742,33546
"84","5.87","0.00024","NA","NA","10.47128548","0.345333333",1000000121,1000025742,3418
"85","7.66942","0.000297","NA","NA","NA","NA",1000000121,1000025742,1000020887
"86","0.23","0.00062","NA","NA","NA","NA",1000000075,1000025743,1000000871
"87","0.12","0.00013","NA","NA","3.801893963","NA",1000000075,1000025743,50136
"88","0.39","0.00041","NA","NA","NA","NA",1000000075,1000025743,1000020922
"89","0.64","0.00062","NA","NA","NA","NA",1000000075,1000025743,1000004162
"90","0.39","0.00033","NA","NA","NA","NA",1000000075,1000025743,1000004518
"91","0.51","0.00045","NA","NA","NA","NA",1000000075,1000025743,5736
"92","0.48","0.00026","NA","NA","NA","NA",1000000075,1000025743,1000020936
"93","0.65","0.00063","NA","NA","NA","NA",1000000075,1000025743,1000020941
"94","1.7","NA","NA","NA","NA","0.7",1000000076,1000000346,1000001917
"95","0.9","NA","NA","NA","NA","0.56",1000000076,1000000346,46256
"96","3","NA","NA","NA","NA","0.31",1000000076,1000000346,1000020919
"97","2.9","NA","NA","NA","NA","0.59",1000000076,1000000346,380
"98","1.7","NA","NA","NA","NA","0.475",1000000076,1000000346,5467
"99","5.5","NA","NA","NA","NA","0.47",1000000076,1000000346,1000020930
"100","2.2","NA","NA","NA","NA","0.605",1000000076,1000000346,1000006740
"101","1.1","NA","NA","NA","NA","0.725",1000000076,1000000346,1000011797
