"","Specific_root_area__SRA_","n","SE","SD","median","Q1","Data_source_DOI","Data_set_DOI","Notes_Site_ID","Climate_PFT_Biome_equivalent_Poulter","Plant_growth_form","Latitude_main","Longitude_Main","agreement","genus","species","pft_id","name","specie_id","scientificname"
"1","596.213404","4","69.0118545","138.023709",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"2","380.737542","4","34.80455245","69.6091049",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"3","112.330285","4","4.191289175","8.38257835",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"4","288.913308","2","4.163940197","5.8887007",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Magnolia","grandiflora",1000000132,"ED_tropical",1000007725,"Magnolia grandiflora"
"5","193.461948","2","9.280180341","13.1241569",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Magnolia","grandiflora",1000000132,"ED_tropical",1000007725,"Magnolia grandiflora"
"6","107.131736","2","3.641705197","5.15014888",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Magnolia","grandiflora",1000000132,"ED_tropical",1000007725,"Magnolia grandiflora"
"7","1305.26098","4","101.860475","203.72095",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Populus","deltoides",1000000132,"ED_tropical",1072,"Populus deltoides"
"8","756.520176","4","126.761438","253.522876",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Populus","deltoides",1000000132,"ED_tropical",1072,"Populus deltoides"
"9","221.361033","4","26.0067195","52.013439",NA,NA,"10.1111/1365-2435.12384",NA,NA,"temperate","tree","39.95","-83.59166667",TRUE,"Populus","deltoides",1000000132,"ED_tropical",1072,"Populus deltoides"
"10","171.0396601",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"11","420.1130137",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"12","371.9300518",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"13","226.6388889",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"14","283.3745318",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"15","529.1875",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"16","620.1184211",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"17","380.5572139",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"18","405.3464567",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"19","414.974359",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"20","1043.786885",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"21","802.015625",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"22","268.6544503",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"23","256.7169442",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"24","198.5215054",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"25","350.4972678",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"26","671.1764706",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"27","389.4596623",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Bottomland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"28","283.670977",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Bottomland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"29","277.7902023",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"30","387.25",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Riparian","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"31","250.420765",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
"32","313.9069111",NA,NA,NA,NA,NA,"10.1111/nph.13179",NA,"Upland","boreal","tree","41.16","-81.24",TRUE,"Fraxinus","americana",1000000132,"ED_tropical",569,"Fraxinus americana"
