"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","doi","species","species_id"
"1",6.083333333,116.55,"Af","tropical",373.2,"10.1111/1365-2435.12424","Tristaniopsis elliptica",1000021036
"2",6.083333333,116.55,"Af","tropical",347.1,"10.1111/1365-2435.12424","Tristaniopsis elliptica",1000021036
"3",6.083333333,116.55,"Af","tropical",468.9,"10.1111/1365-2435.12424","Tristaniopsis elliptica",1000021036
"4",6.083333333,116.55,"Af","tropical",292.9,"10.1111/1365-2435.12424","Tristaniopsis elliptica",1000021036
"5",6.083333333,116.55,"Af","tropical",261.8,"10.1111/1365-2435.12424","Agathis kinabaluensis",1000021012
"6",6.083333333,116.55,"Af","tropical",263.5,"10.1111/1365-2435.12424","Agathis kinabaluensis",1000021012
"7",6.083333333,116.55,"Af","tropical",273.4,"10.1111/1365-2435.12424","Agathis kinabaluensis",1000021012
"8",6.083333333,116.55,"Af","tropical",245.4,"10.1111/1365-2435.12424","Agathis kinabaluensis",1000021012
"9",6.083333333,116.55,"Af","tropical",320.2,"10.1111/1365-2435.12424","Xanthophyllum tenue",1000021038
"10",6.083333333,116.55,"Af","tropical",425.2,"10.1111/1365-2435.12424","Xanthophyllum tenue",1000021038
"11",6.083333333,116.55,"Af","tropical",306.4,"10.1111/1365-2435.12424","Xanthophyllum tenue",1000021038
"12",6.083333333,116.55,"Af","tropical",321.6,"10.1111/1365-2435.12424","Xanthophyllum tenue",1000021038
"13",6.083333333,116.55,"Af","tropical",565.4,"10.1111/1365-2435.12424","Weinmannia blumei",1000021037
"14",6.083333333,116.55,"Af","tropical",571.4,"10.1111/1365-2435.12424","Weinmannia blumei",1000021037
"15",6.083333333,116.55,"Af","tropical",512.1,"10.1111/1365-2435.12424","Weinmannia blumei",1000021037
"16",6.083333333,116.55,"Af","tropical",557.6,"10.1111/1365-2435.12424","Weinmannia blumei",1000021037
"17",6.083333333,116.55,"Af","tropical",259.7,"10.1111/1365-2435.12424","Podocarpus gibbsii",1000021027
