"","Observation","CurveID","Site.Name","canopy.ground","Family","Order","Clade","Growth.form","LimitState","Amax","Vcmax25","Jmax25","tpu25","numrubisco","numrubp","numtpu","LMA","Nmass","Cmass","Pmass","wood.density","density.source","X","X.1","species","citation_id"
"1",2,"no2-2013jan22cecilia2.csv","PNM","ground","Araliaceae","Apiales","asterids","tree","RubiscoRuBpTpu","10.08","39.21","44.00","2.95",5,7,4,"40.72","21.90","460.3","1.30","0.411","Wright et al.",NA,NA,"Dendropanax arboreus",2000000018
"2",3,"no3-2013jan22brick1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","","","","","",NA,NA,NA,"123.01","26.00","389.6","1.64","0.336","Wright et al.",NA,NA,"Ficus insipida",2000000018
"3",4,"no4-2013jan22agnes1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","18.53","","","4.73",NA,NA,2,"84.92","24.90","421.8","1.61","0.337","Chave et al. ",NA,NA,"Castilla elastica",2000000018
"4",5,"Dorothy, FIIN 1, 10:45","PNM","canopy","Moraceae","Rosales","rosids","tree","","","","","",NA,NA,NA,"128.21","20.83","381.1","1.35","0.377","Chave et al. ",NA,NA,"Ficus insipida",2000000018
"5",6,"nonut-2013jan22agnes.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","","","","","",NA,NA,NA,"116.62","29.43","393.7","1.73","0.377","",NA,NA,"Ficus insipida",2000000018
"6",7,"no7-2013jan22brick2.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoTpu","13.08","45.34","","5.08",8,0,5,"75.93","30.10","427.3","1.88","0.337","Wright et al.",NA,NA,"Castilla elastica",2000000018
"7",8,"no8-13jan22cecilia1.csv","PNM","ground","Capparaceae","Brassicales","rosids","tree","","","","","",NA,NA,NA,"46.35","45.20","412.2","1.09","0.614","Wright et al.",NA,NA,"Capparis cynophallophora",2000000018
"8",11,"no11-2013jan23cecilia1_3of6.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBp","13.57","39.91","62.06","4.38",9,5,0,"82.79","16.60","431.6","0.82","0.641","Wright et al.",NA,NA,"Posoqueria latifolia",2000000018
"9",12,"no12-2013jan23cecilia1_4of6.csv","PNM","canopy","Connaraceae","Oxalidales","rosids","tree","RuBpTpu","8.55","","54.95","3.42",0,12,5,"69.66","20.00","467.9","0.83","","",NA,NA,"Connarus williamsii",2000000018
"10",13,"no13-2013jan23cecilia1_5of6.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu","16.11","45.74","75.28","4.76",9,2,6,"50.64","25.00","448.6","1.76","0.777","Chave et al. ",NA,NA,"Chrysophyllum cainito",2000000018
