"","Observation","CurveID","Site.Name","canopy.ground","Family","Order","Clade","Growth.form","LimitState","Amax","Vcmax25","Jmax25","tpu25","numrubisco","numrubp","numtpu","LMA","Nmass","Cmass","Pmass","wood.density","density.source","citation_id","lat","lon","site_id","species_id"
"1",2,"no2-2013jan22cecilia2.csv","PNM","ground","Araliaceae","Apiales","asterids","tree","RubiscoRuBpTpu","10.08","39.21","44","2.95","5","7","4","40.72","21.9","460.3","1.3","0.411","Wright et al.",2000000018,8.994504,-79.542955,2000000002,26318
"2",3,"no3-2013jan22brick1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","123.01","26","389.6","1.64","0.336","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000005277
"3",4,"no4-2013jan22agnes1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","18.53","NA","NA","4.73","NA","NA","2","84.92","24.9","421.8","1.61","0.337","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,11040
"4",5,"Dorothy, FIIN 1, 10:45","PNM","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","128.21","20.83","381.1","1.35","0.377","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,1000005277
"5",6,"nonut-2013jan22agnes.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","116.62","29.43","393.7","1.73","0.377","",2000000018,8.994504,-79.542955,2000000002,1000005277
"6",7,"no7-2013jan22brick2.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoTpu","13.08","45.34","NA","5.08","8","0","5","75.93","30.1","427.3","1.88","0.337","Wright et al.",2000000018,8.994504,-79.542955,2000000002,11040
"7",8,"no8-13jan22cecilia1.csv","PNM","ground","Capparaceae","Brassicales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","46.35","45.2","412.2","1.09","0.614","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2465
"8",11,"no11-2013jan23cecilia1_3of6.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBp","13.57","39.91","62.06","4.38","9","5","0","82.79","16.6","431.6","0.82","0.641","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000011409
"9",12,"no12-2013jan23cecilia1_4of6.csv","PNM","canopy","Connaraceae","Oxalidales","rosids","tree","RuBpTpu","8.55","NA","54.95","3.42","0","12","5","69.66","20","467.9","0.83","NA","",2000000018,8.994504,-79.542955,2000000002,2000000002
"10",13,"no13-2013jan23cecilia1_5of6.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu","16.11","45.74","75.28","4.76","9","2","6","50.64","25","448.6","1.76","0.777","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,28944
"11",16,"dorothy,anex1,09:15","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","68.6","22.48","448.5","2.04","0.391","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,49943
"12",17,"no17-2013_jan23brick2_1of5.csv","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","50.62","24.6","448.6","2.43","0.421","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49943
"13",18,"agnes,anex3,09:15","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","71.68","17.7","446.7","2.25","0.391","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,49943
"14",19,"no19c-2013jan23brick2_3of5.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","25.58","56.23","97.88","6.89","11","2","3","100.06","31","409.2","1.87","0.264","Wright et al.",2000000018,8.994504,-79.542955,2000000002,50096
"15",20,"no20a-2013jan23agnes2of5.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","26.93","75.4","100.83","6.96","5","6","4","102.19","28.2","394.8","1.64","0.264","Wright et al.",2000000018,8.994504,-79.542955,2000000002,50096
"16",23,"nonut-2013jan23agnes5of5.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu","32.92","32.92","49.12","3.54","9","3","4","66.24","22.61","464.1","1.37","NA","",2000000018,8.994504,-79.542955,2000000002,1000011255
"17",24,"nonut-2013jan23brick2_5of5.csv","PNM","canopy","Araliaceae","Apiales","asterids","tree","RubiscoRuBpTpu","22.5","69.06","114.37","8.22","9","5","1","118.75","24.57","472","1.15","NA","",2000000018,8.994504,-79.542955,2000000002,51206
"18",25,"scmo2,dorothy,13:40","PNM","canopy","Araliaceae","Apiales","asterids","tree","","NA","NA","NA","NA","NA","NA","NA","111.18","20.72","463.5","1.15","NA","",2000000018,8.994504,-79.542955,2000000002,51206
"19",26,"no26-2013jan24agnes1of8.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","17.67","42.86","69.94","4.7","8","2","4","72.86","28.3","453.3","1.33","0.426","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49953
"20",30,"no30-2013jan24agnes5of8.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","12.45","47.07","68.47","3.89","8","1","5","103.85","19","447.4","1.15","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"21",31,"no31-2013jan24agnes2of8.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","16.29","45.57","70.06","4.46","9","2","5","75.7","28.4","445.7","1.49","0.426","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49953
"22",32,"no32-2013jan24brick5of8.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","15.89","60.86","77.74","4.93","5","6","5","105.27","19.1","448.4","1.12","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"23",34,"no34-2013jan24cecilia1of4.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu","14.72","33.17","61.73","4.38","8","3","3","74.52","22.7","447.3","1.12","0.426","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49953
"24",35,"no35-2013jan24cecilia3of4.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","14.59","41.72","70.03","4.43","9","1","5","88.47","17.4","439.9","1.11","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"25",37,"no37-2013jan24brick7of8.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree"," ","13.6","NA","NA","3.98","NA","NA","NA","104.56","19.6","465.7","0.98","0.524","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000002818
"26",38,"no38-2013jan24brick8of8.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBpTpu","15.82","51.23","76.19","4.87","7","4","5","105.27","18.5","457.9","1.02","0.524","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000002818
"27",40,"no40-2013jan24cecilia4of4.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBpTpu","21.89","60.13","96.55","6.37","9","3","4","104.08","20.4","463.2","1","0.524","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000002818
"28",41,"no41-2013jan24agnes7of8.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu","15","42.93","67.16","4.31","8","2","5","93.91","23.4","437","1.1","0.337","Wright et al.",2000000018,8.994504,-79.542955,2000000002,11040
"29",45,"no45-2013jan24brick3of8.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu","21.56","60.62","98.26","6.22","7","3","5","86.58","24.6","467.3","1.17","0.603","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000011255
"30",46,"no46a-2013jan24dorothy1_3of3.csv","PNM","canopy","Primulaceae","Ericales","asterids","tree"," ","NA","NA","NA","NA","NA","NA","NA","40.19","20.4","442","1.66","NA","",2000000018,8.994504,-79.542955,2000000002,2000000007
"31",47,"no47-2013jan24dorothy4_3of3.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp","9.3","31.5","40.16","2.92","7","8","0","28.67","31.1","429.3","1.51","0.494","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000000651
"32",48,"no48-2013jan24dorothy1_2of3.csv","PNM","canopy","Chrysobalanaceae","Malpighiales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","35.36","16.9","407.7","0.93","0.623","Wright et al.",2000000018,8.994504,-79.542955,2000000002,21994
"33",49,"corw1,dorothy,14:10","PNM","canopy","Fabaceae","Fabales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","40.99","31.1","461.2","1.13","NA","",2000000018,8.994504,-79.542955,2000000002,1000003266
"34",50,"no50-2013jan25cecilia2_4of4.csv","PNM","canopy","Arecaceae","Arecales","monocots","tree","RubiscoRuBp","8.41","20.4","36.22","2.72","11","3","0","47.55","19.3","473.4","1.27","0.713","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,1000009603
"35",53,"no53-2013jan25cecilia2_1of4.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree","RubiscoRuBp","10.51","33.4","51.65","3.72","9","6","0","33.83","23.4","463.3","2.41","NA","",2000000018,8.994504,-79.542955,2000000002,2000000009
"36",54,"no54a-2013jan25brick1_1of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","17.74","46.64","70.68","4.82","9","3","4","119.22","21.4","457.1","1.01","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"37",55,"no55-2013jan25brick3_1of3.csv","PNM","canopy","Boraginaceae","Boraginaceae","asterids","tree","RubiscoRuBpTpu","28.6","65.25","108.56","7.78","11","3","1","94.39","37.9","415.3","1.56","0.434","Wright et al.",2000000018,8.994504,-79.542955,2000000002,380
"38",61,"no61-2013jan25dorothy4_1of3.csv","PNM","canopy","Boraginaceae","Boraginaceae","asterids","tree","RubiscoRuBpTpu","11.34","74.76","114.05","7.95","11","3","2","79.25","36","416","1.49","0.434","Wright et al.",2000000018,8.994504,-79.542955,2000000002,380
"39",67,"no67-2013jan25brick2_1of2.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu","17.24","39.56","62.81","4.36","11","2","3","102.19","18.6","463.7","0.94","0.777","Wright et al.",2000000018,8.994504,-79.542955,2000000002,28944
"40",71,"no71-2013jan25agnes3of8.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu","20.65","46.93","73.24","5.04","10","3","3","104.79","18.7","468.4","1.02","0.777","Wright et al.",2000000018,8.994504,-79.542955,2000000002,28944
"41",74,"no74-2013jan25brick1_2of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu","29.79","44.71","71.87","5","10","3","3","109.76","19.9","442.1","0.92","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"42",77,"no77-2013jan26agnes1_1of6.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","30.17","66.82","109.65","7.06","10","2","4","51.81","37.5","438.5","2.02","0.305","Wright et al.",2000000018,8.994504,-79.542955,2000000002,15822
"43",78,"no78-2013jan26cecilia1_1of2.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu","18.9","77.21","125.31","8.35","10","3","3","61.27","33.5","441.8","1.54","0.305","Wright et al.",2000000018,8.994504,-79.542955,2000000002,15822
"44",83,"no83-2013jan26agnes1_4of6.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","69.78","20.5","433.5","1.24","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"45",84,"no84-2013jan26cecilia2_1of2.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBp","22.39","26.57","55.41","4.64","14","2","0","79.72","23.3","458.8","1.23","0.573","Wright et al.",2000000018,8.994504,-79.542955,2000000002,2000000005
"46",85,"no85-2013jan26dorothy_4of4.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBp","22.97","40.98","67.46","5.79","12","4","0","82.32","22.6","445.5","1.16","0.426","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49953
"47",86,"no86-2013jan26dorothy1_1of2.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoTpu","6.5","58.24","NA","5.59","12","0","1","61.62","21.5","460.7","0.88","0.641","Wright et al.",2000000018,8.994504,-79.542955,2000000002,1000011409
"48",87,"no87-2013jan26agnes1_5of6.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu","11.27","16.29","27.58","2.03","9","5","1","45.89","18.5","439.3","0.99","0.777","Wright et al.",2000000018,8.994504,-79.542955,2000000002,28944
"49",88,"no88-2013jan26dorothy1_2of2.csv","PNM","canopy","Arecaceae","Arecales","monocots","tree","RubiscoRuBp","7.75","27.89","46.72","3.55","11","4","0","56.53","18.8","479.2","1.24","0.713","Chave et al. ",2000000018,8.994504,-79.542955,2000000002,1000009603
"50",89,"no89-2013jan26agnes1_6of6.csv","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","RubiscoRuBp","15.94","18.03","28.78","2.23","10","5","0","32.88","29.3","448.1","2.31","0.808","Wright et al.",2000000018,8.994504,-79.542955,2000000002,49993
"51",102,"nonut-2013jan29agnes.csv","SLZ","canopy","Euphorbiaceae","Malpighiales","rosids","tree","","NA","NA","NA","NA","NA","NA","NA","73.57","26.92","480.4","0.96","0.73","",2000000018,9.280225,-79.975527,2000000003,1000010453
"52",104,"no104-2013jan29brick2.csv","SLZ","ground","Myrtaceae","Myrtales","rosids","tree","RubiscoRuBp","8.05","17.31","34.81","2.62","11","4","0","64.84","11.6","423.8","0.98","0.788","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000001065
"53",105,"no105-2013jan29brick_3of3.csv","SLZ","ground","Ochnaceae","Malpighiales","rosids","tree","RubiscoRuBpTpu","10.94","36.22","49.59","3.34","10","3","1","42.87","18","454.3","1.14","0.588","Chave et al. ",2000000018,9.280225,-79.975527,2000000003,1000002532
"54",106,"no106-2013jan29brick2_1.csv","SLZ","ground","Fabaceae","Fabales","rosids","tree","RubiscoRuBpTpu","8.08","23.91","37.55","2.73","7","7","1","42.06","30.1","477.2","1.26","0.648","Wright et al.",2000000018,9.280225,-79.975527,2000000003,2148
"55",107,"no107-2013jan29brick_2of3.csv","SLZ","ground","Calophyllaceae","Malpighiales","rosids","tree","RubiscoRuBp","5.64","13.83","26.09","1.9","10","5","0","32.15","20.9","457.2","1.03","0.673","Wright et al.",2000000018,9.280225,-79.975527,2000000003,1000007859
