Species,Ptlp,WD,SLA,Organ,Ref,Biome,Long,Lat
irvingia malayana,-1.83,0.883333333,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,99.78333333,7.56666667
mallotus penangensis,-1.15,0.59,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
millettia atropurpurea,-1.12,0.61,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,99.78333333,7.56666667
palaquium sumatranum,-1.88,0.52,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,99.78333333,7.56666667
parashorea densiflora,-1.83,0.67,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
quercus semiserrata,-1.42,0.712333333,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,99.78333333,7.56666667
shorea guiso,-1.38,0.705,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
shorea macroptera,-0.93,0.425,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
shorea parvifolia,-1.1,0.405,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
vatica odorata,-1.27,0.79,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,99.78333333,7.56666667
xanthophyllum affine,-1.8,0.613333333,NaN,Leaf,"Baltzer et al. 2008",Tropical rainforest,102.3,2.96666667
barringtonia pendula,-1.246333333,0.52,NaN,Leaf,"Bartlett unpublished data",Tropical seasonal forest,101.574,21.6117
quercus oleoides,-3.12,0.86,5.555555556,Leaf,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667
rhedera trinervis,-1.37056928,NaN,5.882352941,Leaf,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667
simarouba glauca,-2.21,0.414188909,6.25,Leaf,"Brodribb et al. 2003, Brodribb&Holbrook 2005",Tropical seasonal forest,-85.56666667,10.86666667
bursera simaruba,-1.39,0.305,14.7893413,Leaf,"Brodribb etal. 2003",Tropical seasonal forest,-85.56666667,10.86666667
calycophyllum candidissimum,-1.3,0.696666667,NaN,Leaf,"Brodribb etal. 2003",Tropical seasonal forest,-85.56666667,10.86666667
enterolobium cyclocarpum,-1.82,0.39,NaN,Leaf,"Brodribb etal. 2003",Tropical seasonal forest,-85.56666667,10.86666667
hymenaea courbaril,-2.174006445,0.792334,NaN,Leaf,"Brodribb etal. 2003",Tropical seasonal forest,-85.56666667,10.86666667
sweitenia macrophylla,-2.15,NaN,NaN,Leaf,"Brodribb etal. 2003",Tropical seasonal forest,-85.56666667,10.86666667
gliricidia sepium,-1.6,0.6175,NaN,Leaf,"Brodribb&Holbrook 2003",Tropical seasonal forest,-85.56666667,10.86666667
michelia hypolampra,-1.4,NaN,NaN,Leaf,"Chen et al. 2017",Tropical rainforest,101.7666667,21.9
celtis tetrandra,-2.23,0.53,11.04,Leaf,"Chen et al. 2017 + unpublished data",Tropical rainforest,101.7666667,21.9
ficus concinna,-2.06,0.51,13.29,Leaf,"Chen et al. 2017 + unpublished data",Tropical rainforest,101.7666667,21.9
