"","value","species_id","citation_id","site_id","treatment","trait_id","variable_id"
"1",0.883333333,1000020993,1000000142,1000004984,2000000012,NA,1000000055
"2",0.59,1000020981,1000000142,1000004982,2000000012,NA,1000000055
"3",0.61,1000020982,1000000142,1000004984,2000000012,NA,1000000055
"4",0.52,1000020996,1000000142,1000004984,2000000012,NA,1000000055
"5",0.67,1000020978,1000000142,1000004982,2000000012,NA,1000000055
"6",0.712333333,1000020979,1000000142,1000004984,2000000012,NA,1000000055
"7",0.705,1000020975,1000000142,1000004982,2000000012,NA,1000000055
"8",0.425,1000020998,1000000142,1000004982,2000000012,NA,1000000055
"9",0.405,1000020976,1000000142,1000004982,2000000012,NA,1000000055
"10",0.79,1000021001,1000000142,1000004984,2000000012,NA,1000000055
"11",0.613333333,1000020980,1000000142,1000004982,2000000012,NA,1000000055
"12",0.52,1000020989,1000000139,1000004985,2000000012,NA,1000000055
"13",0.86,1000020938,1000000113,1000000232,2000000012,NA,1000000055
"14",0.414188909,13388,1000000113,1000000232,2000000012,NA,1000000055
"15",0.305,227,1000000113,1000000232,2000000012,NA,1000000055
"16",0.696666667,41267,1000000113,1000000232,2000000012,NA,1000000055
"17",0.39,3762,1000000113,1000000232,2000000012,NA,1000000055
"18",0.792334,27020,1000000113,1000000232,2000000012,NA,1000000055
"19",0.6175,605,1000000143,1000000232,2000000012,NA,1000000055
"20",0.53,1000020916,1000000118,1000026724,2000000012,NA,1000000055
"21",0.51,1000020927,1000000118,1000026724,2000000012,NA,1000000055
"22",0.44,1000020895,1000000118,1000026724,2000000012,NA,1000000055
"23",0.55,1000020942,1000000118,1000026724,2000000012,NA,1000000055
"24",0.520307692,380,1000000027,1000005005,2000000012,NA,1000000055
"25",0.520307692,380,1000000027,1000025740,2000000012,NA,1000000055
"26",0.520307692,380,1000000027,1000000013,2000000012,NA,1000000055
"27",0.42,44564,1000000027,1000025740,2000000012,NA,1000000055
"28",0.5,1000003423,1000000027,1000025740,2000000012,NA,1000000055
"29",0.397,1000003442,1000000027,1000005005,2000000012,NA,1000000055
"30",0.84,49878,1000000144,1000000346,2000000012,NA,1000000055
"31",0.668,1000012191,1000000144,1000000346,2000000012,NA,1000000055
"32",0.67,1000021000,1000000144,1000000346,2000000012,NA,1000000055
"33",0.8,1000014855,1000000144,1000000346,2000000012,NA,1000000055
"34",0.653,19251,1000000145,1000026724,2000000012,NA,1000000055
"35",0.703,1000020915,1000000145,1000026724,2000000012,NA,1000000055
"36",0.64,1000020918,1000000145,1000026724,2000000012,NA,1000000055
"37",0.825,1000020868,1000000101,1000025739,2000000012,NA,1000000055
"38",0.468,33804,1000000146,1000026724,2000000012,NA,1000000055
"39",0.3815,1000005276,1000000146,1000026724,2000000012,NA,1000000055
"40",0.3626,34006,1000000146,1000026724,2000000012,NA,1000000055
"41",0.43,49943,1000000078,2000000002,2000000012,NA,1000000055
"42",0.702,1000020992,1000000147,1000026745,2000000012,NA,1000000055
