"","Ptlp","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"1",-1.83,0.883333333,NA,"Leaf","Tropical rainforest",99.78333333,7.56666667,"Irvingia malayana",1000000142
"2",-1.15,0.59,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Mallotus penangensis",1000000142
"3",-1.12,0.61,NA,"Leaf","Tropical rainforest",99.78333333,7.56666667,"Millettia atropurpurea",1000000142
"4",-1.88,0.52,NA,"Leaf","Tropical rainforest",99.78333333,7.56666667,"Palaquium sumatranum",1000000142
"5",-1.83,0.67,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Parashorea densiflora",1000000142
"6",-1.42,0.712333333,NA,"Leaf","Tropical rainforest",99.78333333,7.56666667,"Quercus semiserrata",1000000142
"7",-1.38,0.705,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Shorea guiso",1000000142
"8",-0.93,0.425,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Shorea macroptera",1000000142
"9",-1.1,0.405,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Shorea parvifolia",1000000142
"10",-1.27,0.79,NA,"Leaf","Tropical rainforest",99.78333333,7.56666667,"Vatica odorata",1000000142
"11",-1.8,0.613333333,NA,"Leaf","Tropical rainforest",102.3,2.96666667,"Xanthophyllum affine",1000000142
"12",-1.246333333,0.52,NA,"Leaf","Tropical seasonal forest",101.574,21.6117,"Barringtonia pendula",1000000139
"13",-3.12,0.86,5.555555556,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Quercus oleoides",1000000113
"14",-1.37056928,NA,5.882352941,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Rhedera trinervis",1000000113
"15",-2.21,0.414188909,6.25,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Simarouba glauca",1000000113
"16",-1.39,0.305,14.7893413,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Bursera simaruba",1000000113
"17",-1.3,0.696666667,NA,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Calycophyllum candidissimum",1000000113
"18",-1.82,0.39,NA,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Enterolobium cyclocarpum",1000000113
"19",-2.174006445,0.792334,NA,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Hymenaea courbaril",1000000113
"20",-2.15,NA,NA,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Sweitenia macrophylla",1000000113
"21",-1.6,0.6175,NA,"Leaf","Tropical seasonal forest",-85.56666667,10.86666667,"Gliricidia sepium",1000000143
"22",-1.4,NA,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Michelia hypolampra",1000000118
"23",-2.23,0.53,11.04,"Leaf","Tropical rainforest",101.7666667,21.9,"Celtis tetrandra",1000000118
"24",-2.06,0.51,13.29,"Leaf","Tropical rainforest",101.7666667,21.9,"Ficus concinna",1000000118
"25",-2.37,0.44,12.5,"Leaf","Tropical rainforest",101.7666667,21.9,"Harpullia cupanioides",1000000118
"26",-2.26,0.55,12.08,"Leaf","Tropical rainforest",101.7666667,21.9,"Streblus asper",1000000118
"27",-1.97,0.520307692,NA,"Leaf","Tropical rainforest",-79.85,9.15,"Cordia alliodora",1000000027
"28",-2.16,0.520307692,NA,"Leaf","Tropical seasonal forest",-85.35,10.35,"Cordia alliodora",1000000027
"29",-1.89,0.520307692,NA,"Leaf","Tropical rainforest",-79.85,9.15,"Cordia alliodora",1000000027
"30",-1.86,0.520307692,NA,"Leaf","Tropical rainforest",-84,10.41666667,"Cordia alliodora",1000000027
"31",-2.09,0.42,NA,"Leaf","Tropical seasonal forest",-85.35,10.35,"Cordia collococca",1000000027
"32",-1.5,NA,NA,"Leaf","Tropical rainforest",-84,10.41666667,"Cordia cymosa",1000000027
"33",-2.14,0.5,NA,"Leaf","Tropical rainforest",-85.35,10.35,"Cordia dentata",1000000027
"34",-1.63,0.397,NA,"Leaf","Tropical rainforest",-79.85,9.15,"Cordia lasiocalyx",1000000027
