"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"1",-1.83,"0.883333333","NA","Leaf","Tropical rainforest",1000000142,1000004984,1000020993
"2",-1.15,"0.59","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020981
"3",-1.12,"0.61","NA","Leaf","Tropical rainforest",1000000142,1000004984,1000020982
"4",-1.88,"0.52","NA","Leaf","Tropical rainforest",1000000142,1000004984,1000020996
"5",-1.83,"0.67","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020978
"6",-1.42,"0.712333333","NA","Leaf","Tropical rainforest",1000000142,1000004984,1000020979
"7",-1.38,"0.705","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020975
"8",-0.93,"0.425","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020998
"9",-1.1,"0.405","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020976
"10",-1.27,"0.79","NA","Leaf","Tropical rainforest",1000000142,1000004984,1000021001
"11",-1.8,"0.613333333","NA","Leaf","Tropical rainforest",1000000142,1000004982,1000020980
"12",-1.246333333,"0.52","NA","Leaf","Tropical seasonal forest",1000000139,1000004985,1000020989
"13",-3.12,"0.86","5.555555556","Leaf","Tropical seasonal forest",1000000113,1000000232,1000020938
"14",-1.37056928,"NA","5.882352941","Leaf","Tropical seasonal forest",1000000113,1000000232,1000020939
"15",-2.21,"0.414188909","6.25","Leaf","Tropical seasonal forest",1000000113,1000000232,13388
"16",-1.39,"0.305","14.7893413","Leaf","Tropical seasonal forest",1000000113,1000000232,227
"17",-1.3,"0.696666667","NA","Leaf","Tropical seasonal forest",1000000113,1000000232,41267
"18",-1.82,"0.39","NA","Leaf","Tropical seasonal forest",1000000113,1000000232,3762
"19",-2.174006445,"0.792334","NA","Leaf","Tropical seasonal forest",1000000113,1000000232,27020
"20",-2.15,"NA","NA","Leaf","Tropical seasonal forest",1000000113,1000000232,1354
"21",-1.6,"0.6175","NA","Leaf","Tropical seasonal forest",1000000143,1000000232,605
"22",-1.4,"NA","NA","Leaf","Tropical rainforest",1000000118,1000026724,1000020896
"23",-2.23,"0.53","11.04","Leaf","Tropical rainforest",1000000118,1000026724,1000020916
"24",-2.06,"0.51","13.29","Leaf","Tropical rainforest",1000000118,1000026724,1000020927
"25",-2.37,"0.44","12.5","Leaf","Tropical rainforest",1000000118,1000026724,1000020895
"26",-2.26,"0.55","12.08","Leaf","Tropical rainforest",1000000118,1000026724,1000020942
"27",-1.97,"0.520307692","NA","Leaf","Tropical rainforest",1000000027,1000005005,380
"28",-2.16,"0.520307692","NA","Leaf","Tropical seasonal forest",1000000027,1000025740,380
"29",-1.89,"0.520307692","NA","Leaf","Tropical rainforest",1000000027,1000005005,380
"30",-1.86,"0.520307692","NA","Leaf","Tropical rainforest",1000000027,1000000013,380
"31",-2.09,"0.42","NA","Leaf","Tropical seasonal forest",1000000027,1000025740,44564
"32",-1.5,"NA","NA","Leaf","Tropical rainforest",1000000027,1000000013,1000003422
"33",-2.14,"0.5","NA","Leaf","Tropical rainforest",1000000027,1000025740,1000003423
"34",-1.63,"0.397","NA","Leaf","Tropical rainforest",1000000027,1000005005,1000003442
