"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"1","aegiphila lhotzkiana",49913,TRUE,"Aegiphila verticillata",NA,FALSE,"iPlant_TNRS","1","Vell.","http://www.tropicos.org/Name/50214172",9
"2","aegiphila sellowiana",1000000238,TRUE,"Aegiphila verticillata",NA,FALSE,"iPlant_TNRS","1","Vell.","http://www.tropicos.org/Name/50214172",9
"3","albizia guachapele",1000020862,TRUE,"Albizia guachapele",1000020862,TRUE,"iPlant_TNRS","1","(Kunth) Dugand","http://www.tropicos.org/Name/13002026",1
"4","alseis blackiana",49937,TRUE,"Alseis blackiana",49937,TRUE,"iPlant_TNRS","1","Hemsl.","http://www.tropicos.org/Name/27903143",1
"5","anacardium excelsum",49943,TRUE,"Anacardium excelsum",49943,TRUE,"iPlant_TNRS","1","(Bertero & Balb. ex Kunth) Skeels","http://www.tropicos.org/Name/1300302",1
"6","annona glabra",30111,TRUE,"Annona glabra",30111,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/1600683",1
"7","annona spraguei",49953,TRUE,"Annona spraguei",49953,TRUE,"iPlant_TNRS","1","Saff.","http://www.tropicos.org/Name/1600100",1
"8","ardisia palmana",1000000871,TRUE,"Ardisia palmana",1000000871,TRUE,"iPlant_TNRS","1","Donn. Sm.","http://www.tropicos.org/Name/22000607",1
"9","aspidosperma desmanthum",1000000969,TRUE,"Aspidosperma desmanthum",1000000969,TRUE,"iPlant_TNRS","1","Benth. ex Müll. Arg.","http://www.tropicos.org/Name/1800106",1
"10","astronium graveolens",49993,TRUE,"Astronium graveolens",49993,TRUE,"iPlant_TNRS","1","Jacq.","http://www.tropicos.org/Name/1300086",1
"11","balfourodendron riedelianum",1000020863,TRUE,"Balfourodendron riedelianum",1000020863,TRUE,"iPlant_TNRS","1","(Engl.) Engl.","http://www.tropicos.org/Name/28101311",1
"12","bauhinia purpurea",19215,TRUE,"Bauhinia purpurea",19215,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/13047080",1
"13","blepharocalyx salicifolius",1000001544,TRUE,"Blepharocalyx salicifolius",1000001544,TRUE,"iPlant_TNRS","1","(Kunth) O. Berg","http://www.tropicos.org/Name/22102059",1
"14","brosimum utile",30553,TRUE,"Brosimum utile",30553,TRUE,"iPlant_TNRS","1","(Kunth) Oken","http://www.tropicos.org/Name/100300816",1
