"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"1",1,"AEGIPHILA LHOTZKIANA",49913,FALSE,"Aegiphila verticillata",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/50214172",10
"2",2,"AEGIPHILA SELLOWIANA",1000000238,TRUE,"Aegiphila sellowiana",1000000238,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/1171844",1
"3",3,"ALBIZIA GUACHAPELE",NA,FALSE,"Albizia guachapele",NA,FALSE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13002026",11
"4",4,"ALSEIS BLACKIANA",49937,TRUE,"Alseis blackiana",49937,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681405",1
"5",5,"ANACARDIUM EXCELSUM",49943,TRUE,"Anacardium excelsum",49943,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/1300302",1
"6",6,"ANNONA GLABRA",30111,TRUE,"Annona glabra",30111,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/301703",1
"7",7,"ANNONA SPRAGUEI",49953,TRUE,"Annona spraguei",49953,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681407",1
"8",8,"ANTIRRHEA TRICHANTHA",NA,FALSE,"Pittoniotis trichantha",1000011255,TRUE,"iPlant_TNRS","0.98",NA,"http://www.tropicos.org/Name/27903746",7
"9",9,"ARDISIA PALMANA",1000000871,TRUE,"Ardisia palmana",1000000871,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/22000607",1
"10",10,"ASPIDOSPERMA CRUENTA",NA,FALSE,"Aspidosperma desmanthum",1000000969,TRUE,"iPlant_TNRS","0.94",NA,"http://www.tropicos.org/Name/1800106",7
"11",11,"ASTRONIUM GRAVEOLENS",49993,TRUE,"Astronium graveolens",49993,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/1300086",1
"12",12,"BALFOURODENDRON RIEDELIANUM",NA,FALSE,"Balfourodendron riedelianum",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/549412",11
"13",13,"BAUHINIA PURPUREA",19215,TRUE,"Bauhinia purpurea",19215,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13047080",1
"14",14,"BLEPHAROCALYX SALICIFOLIUS",1000001544,TRUE,"Blepharocalyx salicifolius",1000001544,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/22102059",1
