"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","case"
"4","Alseis blackiana",49937,TRUE,"Alseis blackiana",49937,TRUE,1
"5","Anacardium excelsum",49943,TRUE,"Anacardium excelsum",49943,TRUE,1
"6","Annona glabra",30111,TRUE,"Annona glabra",30111,TRUE,1
"7","Annona spraguei",49953,TRUE,"Annona spraguei",49953,TRUE,1
"9","Ardisia palmana",1000000871,TRUE,"Ardisia palmana",1000000871,TRUE,1
"11","Astronium graveolens",49993,TRUE,"Astronium graveolens",49993,TRUE,1
"13","Bauhinia purpurea",19215,TRUE,"Bauhinia purpurea",19215,TRUE,1
"14","Blepharocalyx salicifolius",1000001544,TRUE,"Blepharocalyx salicifolius",1000001544,TRUE,1
"15","Brosimum utile",30553,TRUE,"Brosimum utile",30553,TRUE,1
"17","Bursera simaruba",227,TRUE,"Bursera simaruba",227,TRUE,1
"19","Byrsonima crassifolia",35029,TRUE,"Byrsonima crassifolia",35029,TRUE,1
"20","Cabralea canjerana",1000001911,TRUE,"Cabralea canjerana",1000001911,TRUE,1
"22","Calycophyllum candidissimum",41267,TRUE,"Calycophyllum candidissimum",41267,TRUE,1
"24","Carapa guianensis",46649,TRUE,"Carapa guianensis",46649,TRUE,1
"25","Caryocar brasiliense",10238,TRUE,"Caryocar brasiliense",10238,TRUE,1
"26","Casearia corymbosa",1000002246,TRUE,"Casearia corymbosa",1000002246,TRUE,1
"27","Casearia sylvestris",281,TRUE,"Casearia sylvestris",281,TRUE,1
"28","Cassipourea guianensis",10766,TRUE,"Cassipourea guianensis",10766,TRUE,1
"29","Cecropia obtusifolia",15822,TRUE,"Cecropia obtusifolia",15822,TRUE,1
"30","Cedrela fissilis",1000002385,TRUE,"Cedrela fissilis",1000002385,TRUE,1
"33","Chrysophyllum cainito",28944,TRUE,"Chrysophyllum cainito",28944,TRUE,1
"34","Chrysophyllum gonocarpum",1000002727,TRUE,"Chrysophyllum gonocarpum",1000002727,TRUE,1
"35","Clusia stenophylla",50136,TRUE,"Clusia stenophylla",50136,TRUE,1
"36","Cochlospermum vitifolium",39878,TRUE,"Cochlospermum vitifolium",39878,TRUE,1
"37","Cordia alliodora",380,TRUE,"Cordia alliodora",380,TRUE,1
"38","Cordia cymosa",1000003422,TRUE,"Cordia cymosa",1000003422,TRUE,1
"39","Cordia lasiocalyx",1000003442,TRUE,"Cordia lasiocalyx",1000003442,TRUE,1
"40","Cordia lucidula",1000003446,TRUE,"Cordia lucidula",1000003446,TRUE,1
"41","Cordia nodosa",1000003459,TRUE,"Cordia nodosa",1000003459,TRUE,1
"42","Cordia panamensis",1000003460,TRUE,"Cordia panamensis",1000003460,TRUE,1
"44","Crescentia alata",5807,TRUE,"Crescentia alata",5807,TRUE,1
"45","Croton billbergianus",1000003773,TRUE,"Croton billbergianus",1000003773,TRUE,1
"46","Cupania guatemalensis",1000003887,TRUE,"Cupania guatemalensis",1000003887,TRUE,1
"47","Curatella americana",1000003910,TRUE,"Curatella americana",1000003910,TRUE,1
"48","Dendropanax latilobus",1000004162,TRUE,"Dendropanax latilobus",1000004162,TRUE,1
"49","Drimys granadensis",1000004518,TRUE,"Drimys granadensis",1000004518,TRUE,1
"50","Enterolobium cyclocarpum",3762,TRUE,"Enterolobium cyclocarpum",3762,TRUE,1
"51","Erythrina costaricensis",1000004822,TRUE,"Erythrina costaricensis",1000004822,TRUE,1
"52","Erythroxylum suberosum",1000004882,TRUE,"Erythroxylum suberosum",1000004882,TRUE,1
"53","Eucalyptus grandis",522,TRUE,"Eucalyptus grandis",522,TRUE,1
