"","submit_name","genus","species","bety_id","in_PFT","case","uri","scientificname"
"1","ALSEIS BLACKIANA","Alseis","blackiana",49937,TRUE,1,"http://www.tropicos.org/Name/27903143","Alseis blackiana"
"2","ANACARDIUM EXCELSUM","Anacardium","excelsum",49943,TRUE,1,"http://www.tropicos.org/Name/1300302","Anacardium excelsum"
"3","ANNONA GLABRA","Annona","glabra",30111,TRUE,1,"http://www.tropicos.org/Name/1600683","Annona glabra"
"4","ANNONA SPRAGUEI","Annona","spraguei",49953,TRUE,1,"http://www.tropicos.org/Name/1600100","Annona spraguei"
"5","ARDISIA PALMANA","Ardisia","palmana",1000000871,TRUE,1,"http://www.tropicos.org/Name/22000607","Ardisia palmana"
"6","ASTRONIUM GRAVEOLENS","Astronium","graveolens",49993,TRUE,1,"http://www.tropicos.org/Name/1300086","Astronium graveolens"
"7","BAUHINIA PURPUREA","Bauhinia","purpurea",19215,TRUE,1,"http://www.tropicos.org/Name/13047080","Bauhinia purpurea"
"8","BLEPHAROCALYX SALICIFOLIUS","Blepharocalyx","salicifolius",1000001544,TRUE,1,"http://www.tropicos.org/Name/22102059","Blepharocalyx salicifolius"
"9","BROSIMUM UTILE","Brosimum","utile",30553,TRUE,1,"http://www.tropicos.org/Name/100300816","Brosimum utile"
"10","BURSERA SIMARUBA","Bursera","simaruba",227,TRUE,1,"http://www.tropicos.org/Name/4700231","Bursera simaruba"
"11","BYRSONIMA CRASSIFOLIA","Byrsonima","crassifolia",35029,TRUE,1,"http://www.tropicos.org/Name/19500795","Byrsonima crassifolia"
"12","CABRALEA CANJERANA","Cabralea","canjerana",1000001911,TRUE,1,"http://www.tropicos.org/Name/20400624","Cabralea canjerana"
"13","CALYCOPHYLLUM CANDIDISSIMUM","Calycophyllum","candidissimum",41267,TRUE,1,"http://www.tropicos.org/Name/27903157","Calycophyllum candidissimum"
"14","CARAPA GUIANENSIS","Carapa","guianensis",46649,TRUE,1,"http://www.tropicos.org/Name/20400362","Carapa guianensis"
"15","CARYOCAR BRASILIENSE","Caryocar","brasiliense",10238,TRUE,1,"http://www.tropicos.org/Name/6200020","Caryocar brasiliense"
"16","CASEARIA CORYMBOSA","Casearia","corymbosa",1000002246,TRUE,1,"http://www.tropicos.org/Name/13200097","Casearia corymbosa"
"17","CASEARIA SYLVESTRIS","Casearia","sylvestris",281,TRUE,1,"http://www.tropicos.org/Name/13200167","Casearia sylvestris"
"18","CASSIPOUREA GUIANENSIS","Cassipourea","guianensis",10766,TRUE,1,"http://www.tropicos.org/Name/27600003","Cassipourea guianensis"
"19","CECROPIA OBTUSIFOLIA","Cecropia","obtusifolia",15822,TRUE,1,"http://www.tropicos.org/Name/21300586","Cecropia obtusifolia"
"20","CEDRELA FISSILIS","Cedrela","fissilis",1000002385,TRUE,1,"http://www.tropicos.org/Name/20400355","Cedrela fissilis"
"21","CHRYSOPHYLLUM CAINITO","Chrysophyllum","cainito",28944,TRUE,1,"http://www.tropicos.org/Name/28700679","Chrysophyllum cainito"
"22","CHRYSOPHYLLUM GONOCARPUM","Chrysophyllum","gonocarpum",1000002727,TRUE,1,"http://www.tropicos.org/Name/28700706","Chrysophyllum gonocarpum"
"23","CLUSIA STENOPHYLLA","Clusia","stenophylla",50136,TRUE,1,"http://www.tropicos.org/Name/7800243","Clusia stenophylla"
"24","COCHLOSPERMUM VITIFOLIUM","Cochlospermum","vitifolium",39878,TRUE,1,"http://www.tropicos.org/Name/8000014","Cochlospermum vitifolium"
"25","CORDIA ALLIODORA","Cordia","alliodora",380,TRUE,1,"http://www.tropicos.org/Name/4001123","Cordia alliodora"
"26","CORDIA CYMOSA","Cordia","cymosa",1000003422,TRUE,1,"http://www.tropicos.org/Name/4001646","Cordia cymosa"
"27","CORDIA LASIOCALYX","Cordia","lasiocalyx",1000003442,TRUE,1,"http://www.tropicos.org/Name/4000309","Cordia lasiocalyx"
"28","CORDIA LUCIDULA","Cordia","lucidula",1000003446,TRUE,1,"http://www.tropicos.org/Name/4001221","Cordia lucidula"
"29","CORDIA NODOSA","Cordia","nodosa",1000003459,TRUE,1,"http://www.tropicos.org/Name/4001143","Cordia nodosa"
"30","CORDIA PANAMENSIS","Cordia","panamensis",1000003460,TRUE,1,"http://www.tropicos.org/Name/4001223","Cordia panamensis"
"31","CRESCENTIA ALATA","Crescentia","alata",5807,TRUE,1,"http://www.tropicos.org/Name/3700258","Crescentia alata"
"32","CROTON BILLBERGIANUS","Croton","billbergianus",1000003773,TRUE,1,"http://www.tropicos.org/Name/12800819","Croton billbergianus"
"33","CUPANIA GUATEMALENSIS","Cupania","guatemalensis",1000003887,TRUE,1,"http://www.tropicos.org/Name/28600609","Cupania guatemalensis"
"34","CURATELLA AMERICANA","Curatella","americana",1000003910,TRUE,1,"http://www.tropicos.org/Name/10900124","Curatella americana"
"35","DENDROPANAX LATILOBUS","Dendropanax","latilobus",1000004162,TRUE,1,"http://www.tropicos.org/Name/2200747","Dendropanax latilobus"
"36","DRIMYS GRANADENSIS","Drimys","granadensis",1000004518,TRUE,1,"http://www.tropicos.org/Name/34200005","Drimys granadensis"
"37","ENTEROLOBIUM CYCLOCARPUM","Enterolobium","cyclocarpum",3762,TRUE,1,"http://www.tropicos.org/Name/13030083","Enterolobium cyclocarpum"
"38","ERYTHRINA COSTARICENSIS","Erythrina","costaricensis",1000004822,TRUE,1,"http://www.tropicos.org/Name/13009263","Erythrina costaricensis"
"39","ERYTHROXYLUM SUBEROSUM","Erythroxylum","suberosum",1000004882,TRUE,1,"http://www.tropicos.org/Name/12500266","Erythroxylum suberosum"
"40","EUCALYPTUS GRANDIS","Eucalyptus","grandis",522,TRUE,1,"http://www.tropicos.org/Name/100187894","Eucalyptus grandis"
"41","EUGENIA NESIOTICA","Eugenia","nesiotica",1000005068,TRUE,1,"http://www.tropicos.org/Name/22102097","Eugenia nesiotica"
"42","FARAMEA OCCIDENTALIS","Faramea","occidentalis",31837,TRUE,1,"http://www.tropicos.org/Name/27902704","Faramea occidentalis"
"43","FICUS CITRIFOLIA","Ficus","citrifolia",33851,TRUE,1,"http://www.tropicos.org/Name/21300460","Ficus citrifolia"
"44","FICUS INSIPIDA","Ficus","insipida",1000005277,TRUE,1,"http://www.tropicos.org/Name/21300606","Ficus insipida"
"45","GLIRICIDIA SEPIUM","Gliricidia","sepium",605,TRUE,1,"http://www.tropicos.org/Name/13048407","Gliricidia sepium"
"46","GUAPIRA NOXIA","Guapira","noxia",1000005697,TRUE,1,"http://www.tropicos.org/Name/22500694","Guapira noxia"
"47","GUAREA GUIDONIA","Guarea","guidonia",622,TRUE,1,"http://www.tropicos.org/Name/20400341","Guarea guidonia"
"48","GUAZUMA ULMIFOLIA","Guazuma","ulmifolia",5630,TRUE,1,"http://www.tropicos.org/Name/30400486","Guazuma ulmifolia"
"49","GUSTAVIA SUPERBA","Gustavia","superba",1000005920,TRUE,1,"http://www.tropicos.org/Name/17900010","Gustavia superba"
"50","HEDYOSMUM GOUDOTIANUM","Hedyosmum","goudotianum",1000006069,TRUE,1,"http://www.tropicos.org/Name/7300013","Hedyosmum goudotianum"
"51","HEDYOSMUM MEXICANUM","Hedyosmum","mexicanum",1000006073,TRUE,1,"http://www.tropicos.org/Name/7300015","Hedyosmum mexicanum"
"52","HEVEA BRASILIENSIS","Hevea","brasiliensis",19340,TRUE,1,"http://www.tropicos.org/Name/12801400","Hevea brasiliensis"
"53","HYMENAEA COURBARIL","Hymenaea","courbaril",27020,TRUE,1,"http://www.tropicos.org/Name/13005950","Hymenaea courbaril"
"54","INGA VERA","Inga","vera",704,TRUE,1,"http://www.tropicos.org/Name/13021418","Inga vera"
"55","IPOMOEA WOLCOTTIANA","Ipomoea","wolcottiana",1000006740,TRUE,1,"http://www.tropicos.org/Name/8502130","Ipomoea wolcottiana"
"56","KLEINHOVIA HOSPITA","Kleinhovia","hospita",44340,TRUE,1,"http://www.tropicos.org/Name/30401419","Kleinhovia hospita"
"57","LAGERSTROEMIA TOMENTOSA","Lagerstroemia","tomentosa",1000007008,TRUE,1,"http://www.tropicos.org/Name/19200388","Lagerstroemia tomentosa"
"58","LAGUNCULARIA RACEMOSA","Laguncularia","racemosa",746,TRUE,1,"http://www.tropicos.org/Name/8200077","Laguncularia racemosa"
"59","LUEHEA SEEMANNII","Luehea","seemannii",50567,TRUE,1,"http://www.tropicos.org/Name/32200236","Luehea seemannii"
"60","MACLURA TINCTORIA","Maclura","tinctoria",39582,TRUE,1,"http://www.tropicos.org/Name/21300516","Maclura tinctoria"
"61","MANILKARA BIDENTATA","Manilkara","bidentata",43171,TRUE,1,"http://www.tropicos.org/Name/28700368","Manilkara bidentata"
"62","MANILKARA CHICLE","Manilkara","chicle",1000007816,TRUE,1,"http://www.tropicos.org/Name/28700413","Manilkara chicle"
"63","MICONIA ARGENTEA","Miconia","argentea",50624,TRUE,1,"http://www.tropicos.org/Name/20302666","Miconia argentea"
"64","MICONIA CUSPIDATA","Miconia","cuspidata",1000008327,TRUE,1,"http://www.tropicos.org/Name/20301030","Miconia cuspidata"
"65","MORISONIA AMERICANA","Morisonia","americana",13503,TRUE,1,"http://www.tropicos.org/Name/5900370","Morisonia americana"
"66","MYRIOCARPA LONGIPES","Myriocarpa","longipes",50648,TRUE,1,"http://www.tropicos.org/Name/33400494","Myriocarpa longipes"
