"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"1",1,"AEGIPHILA LHOTZKIANA",49913,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"2",2,"AEGIPHILA SELLOWIANA",1000000238,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"3",3,"ALBIZIA GUACHAPELE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"4",4,"ALSEIS BLACKIANA",49937,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"5",5,"ANACARDIUM EXCELSUM",49943,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"6",6,"ANNONA GLABRA",30111,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"7",7,"ANNONA SPRAGUEI",49953,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"8",8,"ANTIRRHEA TRICHANTHA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"9",9,"ARDISIA PALMANA",1000000871,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"10",10,"ASPIDOSPERMA CRUENTA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"11",11,"ASTRONIUM GRAVEOLENS",49993,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"12",12,"BALFOURODENDRON RIEDELIANUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"13",13,"BAUHINIA PURPUREA",19215,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"14",14,"BLEPHAROCALYX SALICIFOLIUS",1000001544,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"15",15,"BROSIMUM UTILE",30553,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"16",16,"BURSERA SIMAROUBA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"17",17,"BURSERA SIMARUBA",227,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"18",18,"BYRSONIMA CRASSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,13
"19",19,"BYRSONIMA CRASSIFOLIA",35029,TRUE,NA,NA,FALSE,NA,NA,NA,NA,13
"20",20,"CABRALEA CANJERANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"21",21,"CAESALPINIA ERIOSTACHYS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"22",22,"CALYCOPHYLLUM CANDIDISSIMUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"23",23,"CAPPARIS INDICA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"24",24,"CARAPA GUIANENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"25",25,"CARYOCAR BRASILIENSE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"26",26,"CASEARIA CORYMBOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"27",27,"CASEARIA SYLVESTRIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"28",28,"CASSIPOUREA GUIANENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"29",29,"CECROPIA OBTUSIFOLIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"30",30,"CEDRELA FISSILIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"31",31,"CEIBA SPECIOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"32",32,"CHRYSOPHLLUM CAINITO",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"33",33,"CHRYSOPHYLLUM CAINITO",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"34",34,"CHRYSOPHYLLUM GONOCARPUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"35",35,"CLUSIA STENOPHYLLA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"36",36,"COCHLOSPERMUM VITIFOLIUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"37",37,"CORDIA ALLIODORA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"38",38,"CORDIA CYMOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"39",39,"CORDIA LASIOCALYX",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"40",40,"CORDIA LUCIDULA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"41",41,"CORDIA NODOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"42",42,"CORDIA PANAMENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"43",43,"CORDIA TRICHOTOMA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"44",44,"CRESCENTIA ALATA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"45",45,"CROTON BILLBERGIANUS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"46",46,"CUPANIA GUATEMALENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"47",47,"CURATELLA AMERICANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"48",48,"DENDROPANAX LATILOBUS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"49",49,"DRIMYS GRANADENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
