"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case","use","proposed_bety_name","reviewed","bety_name"
"1","Albizia guachapele",1000020862,TRUE,"Albizia guachapele",1000020862,TRUE,"iPlant_TNRS",1,"(Kunth) Dugand","http://www.tropicos.org/Name/13002026",1,"submit","Albizia guachapele",TRUE,"Albizia guachapele"
"2","Alseis blackiana",49937,TRUE,"Alseis blackiana",49937,TRUE,"iPlant_TNRS",1,"Hemsl.","http://www.tropicos.org/Name/27903143",1,"submit","Alseis blackiana",TRUE,"Alseis blackiana"
"3","Anacardium excelsum",49943,TRUE,"Anacardium excelsum",49943,TRUE,"iPlant_TNRS",1,"(Bertero & Balb. ex Kunth) Skeels","http://www.tropicos.org/Name/1300302",1,"submit","Anacardium excelsum",TRUE,"Anacardium excelsum"
"4","Annona glabra",30111,TRUE,"Annona glabra",30111,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/1600683",1,"submit","Annona glabra",TRUE,"Annona glabra"
"5","Annona spraguei",49953,TRUE,"Annona spraguei",49953,TRUE,"iPlant_TNRS",1,"Saff.","http://www.tropicos.org/Name/1600100",1,"submit","Annona spraguei",TRUE,"Annona spraguei"
"6","Ardisia palmana",1000000871,TRUE,"Ardisia palmana",1000000871,TRUE,"iPlant_TNRS",1,"Donn. Sm.","http://www.tropicos.org/Name/22000607",1,"submit","Ardisia palmana",TRUE,"Ardisia palmana"
"7","Aspidosperma desmanthum",1000000969,TRUE,"Aspidosperma desmanthum",1000000969,TRUE,"iPlant_TNRS",1,"Benth. ex Müll. Arg.","http://www.tropicos.org/Name/1800106",1,"submit","Aspidosperma desmanthum",TRUE,"Aspidosperma desmanthum"
"8","Astronium graveolens",49993,TRUE,"Astronium graveolens",49993,TRUE,"iPlant_TNRS",1,"Jacq.","http://www.tropicos.org/Name/1300086",1,"submit","Astronium graveolens",TRUE,"Astronium graveolens"
"9","Balfourodendron riedelianum",1000020863,TRUE,"Balfourodendron riedelianum",1000020863,TRUE,"iPlant_TNRS",1,"(Engl.) Engl.","http://www.tropicos.org/Name/28101311",1,"submit","Balfourodendron riedelianum",TRUE,"Balfourodendron riedelianum"
"10","Bauhinia purpurea",19215,TRUE,"Bauhinia purpurea",19215,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/13047080",1,"submit","Bauhinia purpurea",TRUE,"Bauhinia purpurea"
"11","Blepharocalyx salicifolius",1000001544,TRUE,"Blepharocalyx salicifolius",1000001544,TRUE,"iPlant_TNRS",1,"(Kunth) O. Berg","http://www.tropicos.org/Name/22102059",1,"submit","Blepharocalyx salicifolius",TRUE,"Blepharocalyx salicifolius"
"12","Brosimum utile",30553,TRUE,"Brosimum utile",30553,TRUE,"iPlant_TNRS",1,"(Kunth) Oken","http://www.tropicos.org/Name/100300816",1,"submit","Brosimum utile",TRUE,"Brosimum utile"
"13","Bursera simaruba",227,TRUE,"Bursera simaruba",227,TRUE,"iPlant_TNRS",1,"(L.) Sarg.","http://www.tropicos.org/Name/4700231",1,"submit","Bursera simaruba",TRUE,"Bursera simaruba"
"14","Byrsonima crassifolia",35029,TRUE,"Byrsonima crassifolia",35029,TRUE,"iPlant_TNRS",1,"(L.) Kunth","http://www.tropicos.org/Name/19500795",1,"submit","Byrsonima crassifolia",TRUE,"Byrsonima crassifolia"
"15","Cabralea canjerana",1000001911,TRUE,"Cabralea canjerana",1000001911,TRUE,"iPlant_TNRS",1,"(Vell.) Mart.","http://www.tropicos.org/Name/20400624",1,"submit","Cabralea canjerana",TRUE,"Cabralea canjerana"
"16","Calycophyllum candidissimum",41267,TRUE,"Calycophyllum candidissimum",41267,TRUE,"iPlant_TNRS",1,"(Vahl) DC.","http://www.tropicos.org/Name/27903157",1,"submit","Calycophyllum candidissimum",TRUE,"Calycophyllum candidissimum"
"17","Carapa guianensis",46649,TRUE,"Carapa guianensis",46649,TRUE,"iPlant_TNRS",1,"Aubl.","http://www.tropicos.org/Name/20400362",1,"submit","Carapa guianensis",TRUE,"Carapa guianensis"
