"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"1","AEGIPHILA LHOTZKIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"2","AEGIPHILA SELLOWIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"3","ALBIZIA GUACHAPELE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"4","ALSEIS BLACKIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"5","ANACARDIUM EXCELSUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"6","ANNONA GLABRA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"7","ANNONA SPRAGUEI",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"8","ANTIRRHEA TRICHANTHA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"9","ARDISIA PALMANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"10","ASPIDOSPERMA CRUENTA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"11","ASTRONIUM GRAVEOLENS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"12","BALFOURODENDRON RIEDELIANUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"13","BAUHINIA PURPUREA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"14","BLEPHAROCALYX SALICIFOLIUS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"15","BROSIMUM UTILE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"16","BURSERA SIMAROUBA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"17","BURSERA SIMARUBA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"18","BYRSONIMA CRASSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"19","BYRSONIMA CRASSIFOLIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"20","CABRALEA CANJERANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"21","CAESALPINIA ERIOSTACHYS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"22","CALYCOPHYLLUM CANDIDISSIMUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"23","CAPPARIS INDICA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"24","CARAPA GUIANENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"25","CARYOCAR BRASILIENSE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"26","CASEARIA CORYMBOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"27","CASEARIA SYLVESTRIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"28","CASSIPOUREA GUIANENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"29","CECROPIA OBTUSIFOLIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"30","CEDRELA FISSILIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"31","CEIBA SPECIOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"32","CHRYSOPHLLUM CAINITO",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"33","CHRYSOPHYLLUM CAINITO",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"34","CHRYSOPHYLLUM GONOCARPUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"35","CLUSIA STENOPHYLLA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"36","COCHLOSPERMUM VITIFOLIUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"37","CORDIA ALLIODORA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"38","CORDIA CYMOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"39","CORDIA LASIOCALYX",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"40","CORDIA LUCIDULA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"41","CORDIA NODOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"42","CORDIA PANAMENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"43","CORDIA TRICHOTOMA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"44","CRESCENTIA ALATA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"45","CROTON BILLBERGIANUS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"46","CUPANIA GUATEMALENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"47","CURATELLA AMERICANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"48","DENDROPANAX LATILOBUS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"49","DRIMYS GRANADENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"50","ENTEROLOBIUM CYCLOCARPUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"51","ERYTHRINA COSTARICENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"52","ERYTHROXYLUM SUBEROSUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"53","EUCALYPTUS GRANDIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"54","EUGENIA NESIOTICA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"55","FARAMEA OCCIDENTALIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"56","FICUS CITRIFOLIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"57","FICUS INSIPIDA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"58","GLIRICIDIA SEPIUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"59","GUAPIRA NOXIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"60","GUAREA GUIDONIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"61","GUAZUMA ULMIFOLIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"62","GUSTAVIA SUPERBA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"63","HEDYOSMUM GOUDOTIANUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"64","HEDYOSMUM MEXICANUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"65","HEVEA BRASILIENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"66","HOLOCALYX BALANSAE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"67","HYMENAEA COURBARIL",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"68","HYMENAEA MARTIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"69","HYMENAEA STIGNOCARPA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"70","HYMENEA COURBARIL",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"71","INGA VERA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"72","IPOMOEA WOLCOTTIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"73","KIELMEYERA CORIACEA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"74","KLEINHOVIA HOSPITA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"75","LAGERSTROEMIA TOMENTOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"76","LAGUNCULARIA RACEMOSA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"77","LONCHOCARPUS MUEHLBERGIANUS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"78","LUEHEA SEEMANNII",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"79","MACLURA TINCTORIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"80","MANILKARA BIDENTATA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"81","MANILKARA CHICLE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"82","MICONIA ARGENTEA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"83","MICONIA CUSPIDATA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"84","MICONIA POHLIANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"85","MORISONIA AMERICANA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"86","MYRIOCARPA LONGIPES",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"87","MYROSPERMUM FRUTESCENS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"88","MYRSINE FERRUGINEA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"89","MYRSINE GUIANENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"90","OCHROMA PYRAMIDALE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"91","OCOTEA DIOSPYRIFOLIA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"92","OURATEA LUCENS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"93","PARAPIPTADENIA RIGIDA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"94","PIPER RETICULATUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"95","PISCIDIA CARTHAGENENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"96","PITHECELLOBIUM DULCE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"97","PITTONIOTIS TRICHANTHA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"98","POUROUMA BICOLOR",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"99","PRIORIA COPAIFERA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"100","PROTIUM PANAMENSE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"101","PSEUDOBOMBAX SEPTENATUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"102","PSIDIUM SARTORIANUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"103","QUALEA PARVIFLORA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"104","RHIZOPHORA MANGLE",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"105","SCHEFFLERA MACROCARPA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"106","SCHEFFLERA MOROTOTONI",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"107","SCLEROLOBIUM PANICULATUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"108","SEMIALARIUM MEXICANUM",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"109","SENNA DARIENSIS",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"110","SIMAROUBA AMARA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"111","SIMAROUBA GLAUCA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
"112","SPONDIAS PURPUREA",NA,FALSE,"",NA,FALSE,NA,NA,NA,NA,0
