"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
24672,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",94,1072,15.61,NA,NA,4,"SLA",6,-92.77,39.02,NA,FALSE,15.61,NA
24673,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",95,1072,18.18,NA,NA,4,"SLA",6,-92.77,39.02,NA,FALSE,18.18,NA
24674,63,391,141,NA,2004-06-15 00:00:00,"00:00:00",96,1072,16.85,NA,NA,4,"SLA",6,-92.77,39.02,NA,FALSE,16.85,NA
24739,104,449,359,"Observational",2005-06-15 00:00:00,"00:00:00",NA,1072,17.47,"SE",1.1,4,"SLA",6,1.87,47.77,TRUE,NA,17.47,1.1
24742,105,451,464,"plant date/rotation",2001-06-17 00:00:00,"00:00:00",268,1072,12.646,NA,NA,NA,"SLA",6,-0.83,51.12,TRUE,NA,12.646,NA
37577,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,1072,15.4309,NA,1.0741,9,"SLA",6,NA,NA,TRUE,NA,15.4309,1.0741
37598,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,1072,15.4144,NA,3.4352,12,"SLA",8,NA,NA,TRUE,NA,15.4144,3.4352
37619,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,1072,12.6156,NA,2.4407,8,"SLA",9,NA,NA,TRUE,NA,12.6156,2.4407
38631,415,630,1316,"Observational",NA,"00:00:00",NA,569,13.8,NA,NA,NA,"SLA",NA,-89.4293,43.0399,TRUE,FALSE,13.8,NA
38670,415,630,1316,"Observational",NA,"00:00:00",NA,1072,10.9,NA,NA,NA,"SLA",NA,-89.4293,43.0399,TRUE,FALSE,10.9,NA
38750,415,629,1316,"Observational",NA,"00:00:00",NA,569,13.2,NA,NA,NA,"SLA",NA,-90.12,42.95,TRUE,FALSE,13.2,NA
38831,424,639,1329,"Observational",NA,"00:00:00",NA,575,15.11,"SE",0.32,60,"SLA",NA,-90.116667,45.8,TRUE,FALSE,15.11,0.32
38944,426,641,1337,"High light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,569,4.42106037334357,"SE",0.0684142868768258,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.22624434,0.0035
38945,426,641,1335,"High light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,569,3.91006024348845,"SE",0.0152832331572732,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.25575448,0.001
38946,426,641,1334,"Low light low nutrients",2003-01-01 00:00:00,"00:00:00",NA,569,1.85002308723096,"SE",0.00650061261019703,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.54054054,0.0019
38947,426,641,1336,"Low light high nutrients",2003-01-01 00:00:00,"00:00:00",NA,569,1.78000576361656,"SE",0.00316726092468292,3,"LMA",1,-79.394532,43.663349,TRUE,TRUE,0.56179775,0.001
44172,563,863,1675,"observational",NA,"00:00:00",NA,1314,18.1878423146922,"SE",0.330874815327586,3,"LMA",NA,175.618511,-40.348268,TRUE,TRUE,0.055,0.001
